fecha,venc_total,venc_total_local,venc_total_ext,venc_anticipos_bcra,venc_anticipos_bcra_local,venc_anticipos_bcra_ext,venc_banca_comercial,venc_banca_comercial_local,venc_banca_comercial_ext,venc_bid,venc_bid_local,venc_bid_ext,venc_bilaterales,venc_bilaterales_local,venc_bilaterales_ext,venc_birf,venc_birf_local,venc_birf_ext,venc_bonos,venc_bonos_local,venc_bonos_ext,venc_caf,venc_caf_local,venc_caf_ext,venc_club_de_paris,venc_club_de_paris_local,venc_club_de_paris_ext,venc_fmi,venc_fmi_local,venc_fmi_ext,venc_letras_del_tesoro,venc_letras_del_tesoro_local,venc_letras_del_tesoro_ext
2019-12-01,123970.792,55836.958,68133.835,14237.082,14237.082,,2718.998,2643.011,75.987,2486.753,,2486.753,987.336,,987.336,1252.168,,1252.168,63538.624,24217.011,39321.612,1311.229,,1311.229,2116.67,,2116.67,6897.342,,6897.342,24004.568,12564.854,11439.714
2020-06-01,137325.236,54088.301,83236.935,16531.545,16531.545,,1720.699,1632.735,87.963,2406.224,,2406.224,966.896,,966.896,1057.004,,1057.004,74263.848,22999.344,51264.504,1278.48,,1278.48,2314.27,,2314.27,13191.321,,13191.321,20589.159,12168.683,8420.476
2020-09-01,107614.027,57634.527,49979.5,18197.965,18197.965,,1622.913,1509.895,113.018,2276.961,,2276.961,957.261,,957.261,954.506,,954.506,44214.977,24551.767,19663.21,1268.744,,1268.744,2410.435,,2410.435,18417.506,,18417.506,14326.279,12667.529,1658.75
2020-03-01,126488.075,54335.487,72152.588,16825.423,16825.423,,2371.297,2295.258,76.039,2422.603,,2422.603,1005.335,,1005.335,1126.912,,1126.912,67722.173,26149.903,41572.27,1335.888,,1335.888,2105.276,,2105.276,9616.444,,9616.444,18912.987,8248.201,10664.785
2020-12-01,115106.815,55617.591,59489.224,14979.5,14979.5,,1709.605,1604.373,105.232,2256.816,,2256.816,930.145,,930.145,909.832,,909.832,50786.317,27680.273,23106.044,1250.876,,1250.876,2476.048,,2476.048,24534.229,,24534.229,11555.574,9859.268,1696.306
2021-06-01,131144.842,62762.044,68382.798,15151.99,15151.99,,1545.515,1410.265,135.25,2219.731,,2219.731,880.783,,880.783,832.607,,832.607,52407.734,30968.937,21438.797,1218.707,,1218.707,2323.122,,2323.122,35363.508,,35363.508,16419.262,14636.297,1782.965
2021-09-01,136697.946,63300.884,73397.063,10361.567,10361.567,,1508.065,1367.296,140.768,2222.355,,2222.355,865.679,,865.679,790.222,,790.222,56632.955,31081.714,25551.242,1197.431,,1197.431,2071.109,,2071.109,36549.964,,36549.964,21817.648,19981.713,1835.935
2021-03-01,121915.052,59428.426,62486.626,15170.408,15170.408,,1573.87,1467.631,106.239,2223.883,,2223.883,910.802,,910.802,856.087,,856.087,53129.104,31958.178,21170.926,1243.745,,1243.745,2381.958,,2381.958,29654.092,,29654.092,11951.528,10226.158,1725.371
2021-12-01,154646.713,79682.626,74964.087,21148.899,21148.899,,2239.309,2092.457,146.851,2285.051,,2285.051,928.873,,928.873,827.036,,827.036,60166.942,33608.127,26558.815,1210.822,,1210.822,2040.633,,2040.633,37826.16,,37826.16,23734.136,21847.182,1886.954
2022-06-01,162947.189,90993.446,71953.742,20828.977,20828.977,,1856.168,1717.047,139.121,2476.665,,2476.665,975.964,,975.964,1032.45,,1032.45,68655.956,39523.143,29132.813,1312.922,,1312.922,,,,33833.092,,33833.092,30513.439,28691.255,1822.184
2022-09-01,175661.479,87787.308,87874.171,18960.054,18960.054,,1591.261,1459.458,131.804,2727.512,,2727.512,1002.296,,1002.296,1261.008,,1261.008,84699.229,37072.257,47626.972,1430.666,,1430.666,1671.261,,1671.261,28954.591,,28954.591,31860.87,30081.297,1779.573
2022-12-01,178574.111,87497.904,91076.207,15768.798,15768.798,,2500.464,2342.934,157.53,3369.166,,3369.166,1211.05,,1211.05,1592.911,,1592.911,90545.043,37256.619,53288.424,1520.572,,1520.572,812.932,,812.932,26213.968,,26213.968,32612.792,30918.845,1693.947
2023-06-01,191527.107,84448.107,107079.0,16172.593,16172.593,,1785.205,1616.831,168.374,3564.454,,3564.454,1289.813,,1289.813,1725.033,,1725.033,135448.318,57191.617,78256.701,1612.318,,1612.318,857.1,,857.1,16266.774,,16266.774,11369.687,9300.42,2069.268
2023-09-01,189523.345,79148.703,110374.642,11688.581,11688.581,,1349.205,1185.686,163.519,3806.945,,3806.945,1271.603,,1271.603,1805.862,,1805.862,139723.91,56061.979,83661.932,1661.602,,1661.602,1061.882,,1061.882,13563.823,,13563.823,12032.681,10072.539,1960.142
2023-03-01,172472.135,78098.594,94373.541,13986.909,13986.909,,2146.535,1985.757,160.778,3430.28,,3430.28,1332.695,,1332.695,1616.242,,1616.242,108432.728,48025.517,60407.212,1566.554,,1566.554,867.311,,867.311,21752.236,,21752.236,15905.84,13920.488,1985.352
2023-12-01,158705.147,49400.567,109304.58,5060.425,5060.425,,1017.643,847.3,170.342,3890.438,,3890.438,1338.442,,1338.442,1880.529,,1880.529,123788.774,38164.41,85624.364,2709.931,,2709.931,902.817,,902.817,10144.747,,10144.747,6486.231,5267.267,1218.965
2024-06-01,166100.777,98298.209,67802.569,4487.086,4487.086,,911.856,751.302,160.553,4021.307,,4021.307,1301.426,,1301.426,1953.64,,1953.64,121555.319,72995.872,48559.447,1647.86,,1647.86,814.397,,814.397,6726.601,,6726.601,21151.617,19956.132,1195.486
2024-09-01,171012.644,110576.221,60436.423,4213.647,4213.647,,870.75,705.519,165.231,4246.817,,4246.817,1279.989,,1279.989,1981.338,,1981.338,114184.831,73094.703,41090.128,1603.134,,1603.134,798.643,,798.643,6672.556,,6672.556,33644.848,32447.587,1197.261
2024-03-01,132086.675,59891.183,72195.492,4771.426,4771.426,,964.673,798.911,165.762,4008.972,,4008.972,1315.455,,1315.455,1931.196,,1931.196,102760.014,51799.481,50960.533,1624.876,,1624.876,826.351,,826.351,8720.124,,8720.124,3636.31,2433.776,1202.535
2024-12-01,200016.714,140546.692,59470.022,3962.325,3962.325,,812.47,663.438,149.031,4346.865,,4346.865,1248.338,,1248.338,2135.428,,2135.428,147228.082,106336.26,40891.822,1622.169,,1622.169,754.844,,754.844,5686.654,,5686.654,29694.519,28497.608,1196.911
2025-06-01,195326.897,154768.75,40558.146,3426.143,3426.143,,730.296,573.662,156.635,4319.425,,4319.425,1187.271,,1187.271,2202.965,,2202.965,138329.843,120390.421,17939.421,1509.161,,1509.161,736.363,,736.363,9329.125,,9329.125,31971.761,30258.846,1712.915
2025-09-01,194068.53,145317.961,48750.569,2993.671,2993.671,,653.532,501.25,152.282,4467.732,,4467.732,1169.869,,1169.869,2243.103,,2243.103,131137.071,111522.46,19614.611,1446.49,,1446.49,645.161,,645.161,10731.841,,10731.841,36809.35,30002.908,6806.442
2025-03-01,207726.473,155953.202,51773.27,3809.662,3809.662,,789.662,637.877,151.785,4275.09,,4275.09,1228.133,,1228.133,2027.82,,2027.82,151587.225,119134.972,32452.253,1521.765,,1521.765,695.827,,695.827,6488.388,,6488.388,33744.452,32248.199,1496.253
2025-12-01,208734.929,155230.857,53504.071,2803.243,2803.243,,615.819,469.366,146.453,4437.868,,4437.868,1235.152,,1235.152,2328.555,,2328.555,125730.772,105013.207,20717.565,1474.355,,1474.355,639.396,,639.396,11622.991,,11622.991,55278.275,46649.728,8628.547
