fecha,years_since_default
2022-03-23,1.834360027378508
2022-03-24,1.83709787816564
2022-03-25,1.839835728952772
2022-03-28,1.8480492813141685
2022-03-29,1.8507871321013005
2022-03-30,1.8535249828884326
2022-03-31,1.8562628336755647
2022-04-01,1.8590006844626967
2022-04-04,1.8672142368240932
2022-04-05,1.8699520876112252
2022-04-06,1.8726899383983573
2022-04-07,1.8754277891854894
2022-04-08,1.8781656399726214
2022-04-11,1.8863791923340179
2022-04-12,1.88911704312115
2022-04-13,1.891854893908282
2022-04-14,1.894592744695414
2022-04-15,1.8973305954825461
2022-04-18,1.9055441478439425
2022-04-19,1.9082819986310746
2022-04-20,1.9110198494182067
2022-04-21,1.9137577002053388
2022-04-22,1.9164955509924708
2022-04-25,1.9247091033538672
2022-04-26,1.9274469541409993
2022-04-27,1.9301848049281314
2022-04-28,1.9329226557152634
2022-04-29,1.9356605065023955
2022-05-02,1.943874058863792
2022-05-03,1.946611909650924
2022-05-04,1.949349760438056
2022-05-05,1.9520876112251881
2022-05-06,1.9548254620123204
2022-05-09,1.9630390143737166
2022-05-10,1.9657768651608487
2022-05-11,1.9685147159479808
2022-05-12,1.9712525667351128
2022-05-13,1.9739904175222451
2022-05-16,1.9822039698836413
2022-05-17,1.9849418206707734
2022-05-18,1.9876796714579055
2022-05-19,1.9904175222450375
2022-05-20,1.9931553730321698
2022-05-23,2.001368925393566
2022-05-24,2.004106776180698
2022-05-25,2.00684462696783
2022-05-26,2.0095824777549622
2022-05-27,2.0123203285420943
2022-05-30,2.020533880903491
2022-05-31,2.023271731690623
2022-06-01,2.026009582477755
2022-06-02,2.028747433264887
2022-06-03,2.0314852840520192
2022-06-06,2.0396988364134154
2022-06-07,2.0424366872005475
2022-06-08,2.0451745379876796
2022-06-09,2.0479123887748116
2022-06-10,2.0506502395619437
2022-06-13,2.0588637919233403
2022-06-14,2.0616016427104724
2022-06-15,2.0643394934976045
2022-06-16,2.0670773442847366
2022-06-17,2.0698151950718686
2022-06-20,2.078028747433265
2022-06-21,2.080766598220397
2022-06-22,2.083504449007529
2022-06-23,2.086242299794661
2022-06-24,2.088980150581793
2022-06-27,2.0971937029431897
2022-06-28,2.099931553730322
2022-06-29,2.102669404517454
2022-06-30,2.105407255304586
2022-07-01,2.108145106091718
2022-07-04,2.116358658453114
2022-07-05,2.1190965092402463
2022-07-06,2.1218343600273784
2022-07-07,2.1245722108145104
2022-07-08,2.127310061601643
2022-07-11,2.135523613963039
2022-07-12,2.138261464750171
2022-07-13,2.1409993155373033
2022-07-14,2.1437371663244353
2022-07-15,2.1464750171115674
2022-07-18,2.1546885694729636
2022-07-19,2.1574264202600957
2022-07-20,2.1601642710472277
2022-07-21,2.16290212183436
2022-07-22,2.1656399726214923
2022-07-25,2.1738535249828885
2022-07-26,2.1765913757700206
2022-07-27,2.1793292265571527
2022-07-28,2.1820670773442847
2022-07-29,2.184804928131417
2022-08-01,2.193018480492813
2022-08-02,2.195756331279945
2022-08-03,2.198494182067077
2022-08-04,2.2012320328542097
2022-08-05,2.2039698836413417
2022-08-08,2.212183436002738
