fecha,pbi,impo,oferta_global,demanda_global,consumo_priv,consumo_pub,expo,fbkf,var_existencias,objetos_valiosos,discrepancia
2017-09-01,1541.548665648678,714.987708318404,1342.2765357892235,1342.2765357861444,1393.1137889853799,1912.9134846336867,855.9913576331209,1087.2268061065124,,,
2017-12-01,1618.2059299173418,719.5300658063234,1403.12614102617,1403.1261410257384,1455.2107721207374,2097.2193568387743,888.363786951982,1127.1698315658832,,,
2018-03-01,1761.2558920672213,851.613887583687,1541.4030829628698,1541.40308296287,1625.1419821062693,2097.6106744918766,1020.235985666461,1342.3235277384667,,,
2018-06-01,1930.8064751595093,1006.5522108537714,1720.5245675168107,1720.5245675168105,1755.535028847069,2283.98367059682,1272.0325458731543,1429.676616662661,,,
2018-09-01,2194.5468901396007,1352.5439934769838,2001.7461877118442,2001.7461877118446,2107.5285189611163,2341.5730203468624,1654.3245780495638,1676.0363655600258,,,
2018-12-01,2477.513217421149,1570.8652016484357,2294.4514355137153,2294.4514355137158,2401.810218339206,2856.818375546999,1798.6155476813703,1976.5338675996366,,,
2019-03-01,2625.838040267884,1593.714870700894,2417.0342858003614,2417.0342858003623,2479.5875514308027,3314.710152450209,1928.8017809874545,2186.032713477884,,,
2019-06-01,2824.420995986231,1750.4895349127573,2625.3041229980577,2625.3041229980577,2674.259929908377,3710.6181582952663,2198.422434437745,2391.1522522587625,,,
2019-09-01,3261.2742659037144,1981.9808830402683,2998.9659959574183,2998.9659959574183,3007.6008389076014,3963.981282084771,2485.4823501345195,2671.8494623418924,,,
2019-12-01,3755.389474392448,2278.3440741990644,3480.4394778159676,3480.4394778159667,3475.4660662616266,4607.228456744826,2881.140715850182,3032.1865480654933,,,
2020-03-01,3953.2588496122758,2339.607923008592,3647.3207289769803,3647.3207289769803,3739.7786452043356,4704.443690871568,3003.1901490815944,3524.7875010097596,,,
2020-06-01,3942.5912163935236,2520.777154917087,3710.5751123701198,3710.57511237012,3775.088919145648,4985.435061655314,3187.6419673883793,3288.738119981493,,,
2020-09-01,4483.346910554274,2775.716389377619,4172.0352132972575,4172.0352132972575,4265.127346390875,5086.1264929797035,3518.535152626033,3699.028496142565,,,
2020-12-01,5024.49565256998,3009.8344669944213,4641.2290916829015,4641.229091682902,4752.867848211487,5837.264185605372,3929.138660342165,4227.943036018616,,,
2021-03-01,5634.697917113223,3563.2339466100993,5252.894042665956,5252.894042665956,5202.386183730703,6254.765791401681,4924.038613403307,5074.141802619435,,,
2021-06-01,6404.867564259182,4084.9161436802397,5978.18522230381,5978.18522230381,5727.489865525417,7277.96264461584,5706.5605400726845,5559.682727559847,,,
2021-09-01,6911.1149603440335,4644.741818526419,6472.285113901176,6472.285113901176,6432.781926075808,7813.843810986462,6092.476567342549,5943.992012975343,,,
2021-12-01,7798.5505091577825,4490.705690160532,7112.708500873893,7112.708500873893,7204.951073722671,9292.931932766507,6245.723288418592,6339.490729098973,,,
2022-03-01,8650.105830876788,5087.164952493483,7911.065830116698,7911.0658301167,8009.362195168285,10047.963832682575,7150.333744103338,7096.151309139175,,,
2022-06-01,10056.6379332052,6269.502694964891,9271.64105729966,9271.64105729966,9234.79152682901,11757.351551387643,8535.10551623875,8322.68219498814,,,
2022-09-01,11992.343575814166,7407.649873231915,11004.186731629883,11004.186731629887,11360.497922311139,13537.918621794728,9139.649317238087,10425.65580801131,,,
2022-12-01,14641.30849897125,7400.93361032484,13152.870045100817,13152.870045100817,13723.370811966284,17594.79127786966,10666.723181209407,12124.283333408152,,,
2023-03-01,17147.96868291229,9296.764893480111,15488.380431194988,15488.380431194986,15612.706739147936,20537.33900221166,12199.181783969136,15140.287630888963,,,
2023-06-01,21575.662446122948,11065.253918730956,19230.982125245966,19230.982125245966,19323.52273196505,26018.706488440563,14425.86687289589,18461.164066730864,,,
2023-09-01,28342.775721106336,15002.781583265905,25417.09922021663,25417.099220216627,26205.949842140046,32803.45264928544,18759.01895389473,24655.442880140836,,,
2023-12-01,40425.005572342874,19170.85344342965,36037.755641734475,36037.75564173448,36931.57634742534,46284.13288194311,26397.95133703526,37188.6445649185,,,
2024-03-01,63293.79562875507,36971.97617956596,58174.95986625393,58174.95986625391,57065.8857584243,65826.48968646911,49053.32682024421,61108.38553066211,,,
2024-06-01,76709.37567871642,40084.48681355648,69913.07825648139,69913.07825648137,72025.00781792279,87786.57293742418,53209.074134573915,73613.1516979841,,,
2024-09-01,89970.63309383119,45135.39251628078,80921.36098937751,80921.36098937751,84208.01887589548,96438.80385073171,55376.43928230735,79421.52299333097,,,
2024-12-01,98661.2473037223,44391.45196468593,86908.98574575779,86908.98574575779,92677.72632977788,111594.8987620599,58964.369093449975,80972.72708772241,,,
2025-03-01,102241.31855316088,48191.22510529057,89156.12862865503,89156.128628655,97010.50996235413,116982.70513636537,62859.56897323109,82017.66846354016,,,
2025-06-01,107372.6320484262,50232.14583530421,94337.88682621466,94337.88682621466,101682.03813700502,129550.10187058167,68626.47618522766,90892.8518657632,,,
2025-09-01,121073.75518728004,62890.20210822331,107546.35364988283,107546.35364988285,113709.16074732356,132421.97329303756,79884.72712089804,98129.19071074223,,,
2025-12-01,128027.35203923956,62714.51282179084,113022.33092235368,113022.33092235368,120623.43878803447,145838.7937198387,85203.25290941606,103474.90576568112,,,
