indice_tiempo,ica_expo_totales,ica_exportacion_productos_primarios,ica_exportacion_manufacturas_origen_agropecuario,ica_exportacion_manufacturas_origen_industrial,ica_exportacion_combustible_energia,ica_importaciones_totales,ica_importaciones_bienes_capital,ica_importaciones_bienes_intermedios,ica_importaciones_combustibles_lubricantes,ica_importaciones_piezas_accesorios_bienes_capital,ica_importaciones_bienes_consumo,ica_importaciones_vehiculos_automotores_pasajeros,ica_importaciones_resto,ica_bienes_capital_partes_piezas,ica_bienes_intermedios_combustibles_lubricantes,ica_importaciones_bs_consumo_vehiculos_automotor_pasajeros,saldo_comercial
1933-01-01,346.9969040247678,,,,,277.73993808049534,,,,,,,,,,,69.25696594427247
1934-01-01,467.012987012987,,,,,318.0229226361032,,,,,,,,,,,148.99006437688385
1935-01-01,498.19047619047615,,,,,332.86118980169977,,,,,,,,,,,165.32928638877638
1936-01-01,537.5649350649351,,,,,323.6811594202898,,,,,,,,,,,213.88377564464534
1937-01-01,755.2287581699346,,,,,479.2923076923077,,,,,,,,,,,275.9364504776269
1938-01-01,437.5048,,,,,427.16020000000003,,,,,,,,,,,10.3446
1939-01-01,464.0629,,,,,346.00109999999995,,,,,,,,,,,118.0618
1940-01-01,408.94809999999995,,,,,377.9014,,,,,,,,,,,31.0467
1941-01-01,412.33709999999996,,,,,322.2248,,,,,,,,,,,90.1123
1942-01-01,491.2021,,,,,319.30879999999996,,,,,,,,,,,171.89329999999998
1943-01-01,601.1144,,,,,239.2808,,,,,,,,,,,361.8336
1944-01-01,658.2337,,,,,256.7454,,,,,,,,,,,401.4883
1945-01-01,723.7819000000001,,,,,294.9103,,,,,,,,,,,428.8716
1946-01-01,1159.3379,,,,,588.0731999999999,,,,,,,,,,,571.2647
1947-01-01,1611.9851999999998,,,,,1340.4841000000001,,,,,,,,,,,271.50109999999995
1948-01-01,1628.9747,,,,,1561.4904,,,,,,,,,,,67.4843
1949-01-01,1043.4689,,,,,1179.5965,,,,,,,,,,,-136.1276
1950-01-01,1177.5351,,,,,964.2135,,,,,,,,,,,213.32160000000002
