fecha,pbi,imp_netos,iva,imp_importaciones,vab,agro,pesca,mineria,industria,elect_gas_agua,construccion,comercio,hoteles,transporte,intermediacion_fin,inmobiliarias,admin_publica,ensenanza,salud,otros_servicios,hogares_dom
2008-09-01,1183692.2697064732,105381.74412802764,85000.89599968,9422.490101200001,983887.1394775657,57514.131845318305,2665.9929139241926,43451.84582764367,204003.33329007853,17215.566456428,55960.11862499428,156723.9020577532,21326.07470170462,71158.20479586696,38259.0751537242,118251.07777420868,64199.818535415834,51952.57048441397,40670.034161408126,32924.27243524172,7611.120419441326
2008-12-01,1168651.80837968,101774.08317764431,82625.05082692,9292.5419036,974960.1324715156,56134.07315473877,2562.2193242486437,45356.41079843231,193017.9509398746,13763.082456606355,50610.065067283955,145460.64193962025,20780.330059472075,70528.5354480263,41219.34392965992,124116.0731712222,73279.95356269887,56811.57292599896,40121.85836947998,33456.43335037117,7741.5879737812065
2009-03-01,1112307.4883262962,95046.10113086416,80577.54481767998,6771.73030316,929912.1120745922,43520.08540833439,2215.050697818308,47155.62224159887,169063.09572566705,16462.68563556485,49062.58916272837,139262.9365316025,22610.90647988584,72311.30133797026,38916.62850535837,113552.32158747248,72356.19791227698,57429.024832763505,44166.7126411922,33323.117988792146,8503.835385566035
2009-06-01,1251464.7279338671,107737.9524198381,83665.01709264399,7125.73374556,1052936.0246758251,91342.36693085729,4557.632714601022,48524.43415262869,189629.85624537925,15520.648237727757,49332.825708467426,148691.70118532746,19717.21938594546,79397.7075251689,42528.33277553703,124496.83034478415,79000.6198716222,61794.50954848768,53485.95467534515,35918.5623905285,8996.82298341708
2009-09-01,1269734.745267083,103187.78049455816,92957.91387028,8136.561397,1065452.489505245,51415.22367850654,2092.911460253673,50170.70197595756,202853.90935751604,20672.54830587668,56308.633360645115,159730.56543322688,21155.75193132107,77386.20509707785,43955.85446521787,133944.13274379616,80040.67490510434,64547.93989750498,53007.15740491773,38763.51286210039,9406.766626222157
2009-12-01,1358210.1141728326,119158.06910874945,92342.458119,8765.12747232,1137944.4594727631,65441.665386880326,2659.426794989528,56669.85740154258,216351.20980311494,16971.039468041643,57366.311596888634,166681.79319761563,23428.34978093967,81098.09473562473,45868.12551753747,143815.17936575643,93334.23746483405,66876.67708842937,51648.68802956715,39976.38915933666,9757.41468166433
2010-03-01,1418857.9499665094,114717.40987517317,100276.59623892,8879.15386724,1194984.7899851762,77647.58915247032,2306.2746192795744,61070.94228142058,224505.6264317022,17563.06793955648,64081.57864506567,179846.17452646667,28907.68522021758,89838.37373710085,45817.94861127418,136823.75268744206,90603.07145450011,67903.15793282323,56573.86814782369,41898.35645497642,9597.322143056572
2010-06-01,1686066.954457782,140145.31105945318,110906.89315232,10218.06643984,1424796.6838061688,171136.92117470628,4718.3915381412535,63558.04645241871,258857.2971677158,19033.646121171034,69740.60808425944,203340.1115071809,26263.57511785113,103095.26418433017,51785.17920603192,154315.11935147148,99564.60919056222,74880.82351737435,69221.54983595709,44367.96768681607,10917.573670180951
2010-09-01,1712834.5489382918,148473.0864328862,124762.40544808,13022.24991416,1426576.8071431657,92254.06470859601,4187.883739987098,64905.5384673399,275862.70981703093,22467.041959945283,77690.06175701582,219069.56646503258,31214.7468927406,100250.85871740582,54495.540561442656,167424.3104433388,105082.32103228793,79655.80766205981,69774.75297949086,49856.555273854625,12385.046665597494
2010-12-01,1829124.2504157436,156477.59736624404,129598.05380951997,13593.78068028,1529454.8185596995,118697.38048196319,3118.3703925946575,67877.74651249182,293963.83738379064,19371.72785768602,78372.00572877856,230966.950948375,33220.34859967606,103946.16378837037,59378.01200661981,181792.94273205928,123951.84070887596,81555.47942705138,68299.40701542539,53047.493291226616,11895.11168471486
2011-03-01,1888827.151845796,153734.56648020097,137056.26290812,12935.861853080001,1585100.460604395,106867.74184284032,3290.7685568554634,69065.05207910477,299731.5471810019,24424.463915478715,94966.04607583089,239545.74890314485,39265.658489308844,114076.91684139668,58430.3121816281,171550.34745831965,123025.16795682725,95727.37562437804,77100.5755201445,55341.64992128226,12691.088056852905
2011-06-01,2237123.8354149116,178775.75355375567,147568.469260908,13661.069328560001,1897118.5432716878,242910.14872813152,5048.167741083719,65757.97959274765,346818.1536830139,23850.746422906002,102469.46376735049,271757.2621933212,37487.92281002945,129268.22302260667,65776.11919941482,194096.16889789485,139109.88057769672,102272.71009377543,94964.66672671339,61220.27515989792,14310.654655104016
2011-09-01,2250487.26379217,188874.2125410836,164408.01997528,15245.58875548,1881959.4425203267,120992.88532780431,3595.234831420674,76322.63449551501,364873.5663258405,26542.422971269272,112936.44306903465,291175.4554870511,43610.682189089806,126662.65130876417,72954.3779544794,211285.55707832245,141990.09341104727,109912.0939932931,99646.3876694788,63837.194885082754,15621.761522833445
2011-12-01,2339658.163470233,195499.7387594022,167914.71330252002,16867.51923576,1959376.1921725508,124753.22707002828,2558.2091569193917,83622.70167066214,370138.88718871796,23654.75106102942,112388.172360094,293135.80182422465,45347.39245937776,130511.89864526397,78844.3825404038,238518.3040481335,161580.536217556,111480.32242979169,99461.56317206954,67392.62896794775,15987.413360331386
2012-03-01,2345559.6033526314,198507.0941666848,170440.60004224,13780.87536724,1962831.0337764665,96983.83299596007,5122.472457280696,82781.650775201,360515.88540075585,25916.534010123873,119995.75091900161,294728.5592252559,53170.73653687659,141457.7934422763,79614.33629937054,217212.27961779872,162273.91169257546,125737.85472116809,109398.56135029513,70289.56111935142,17631.31321317554
2012-06-01,2651098.0463880287,213527.34463494306,180347.81131507998,13333.535588919998,2243889.3548490857,228601.43615603546,2804.2978123460234,83926.31652020248,393629.28298752283,28679.043959043116,123163.02908354407,315299.9139095101,49680.690657642546,154272.56139463716,88865.82111441428,239046.31064877665,185743.31116773706,133960.11067007147,119746.55497529625,77264.91038594846,19205.763406357604
2012-09-01,2704827.5498552597,230389.0109625568,196950.45141784,18471.629291639998,2259016.458183223,131386.24321183463,4446.81882717037,84311.60050924409,415004.4031485335,33490.09588042763,134971.2128675258,339283.37729452597,56373.15762023656,151418.70502376294,98232.89332036594,255517.13336934889,182206.1006598345,138896.28324982978,129509.67205130665,83452.53650921096,20516.224640064334
2012-12-01,2850170.193266278,231114.85524822792,214246.89863736005,20985.95152164,2383822.4878590503,136598.7644910122,4125.8584564100365,92486.91668228628,436474.8225561608,28197.326180307075,134126.04578257128,351095.4817599013,58336.95023965509,157805.02003521842,106338.39430080605,283127.3065453696,208462.7063720955,142298.94179299,137957.50307156105,85201.16847112047,21189.281121585314
2013-03-01,2888980.8590711113,219214.66148779506,222883.78907487998,20386.70942576,2426495.6990826763,131997.09992809765,4287.118159072882,88379.06427913328,432936.3709365815,36053.17738335114,153392.0470710697,367542.9180802735,64809.38357442844,169317.1067180511,103001.12836118386,266608.70954912825,206830.60168257714,156195.66794093288,134850.31986406117,87393.34858294083,22901.636971792173
2013-06-01,3387810.9120546845,271017.271363417,234247.9469868,22056.028922280002,2860489.6647821874,302384.21613699937,11782.11442608955,90862.89628803659,500644.65081876516,39044.38168568937,156234.01389104617,415589.8271599271,61214.17484799652,193342.21763829922,114188.70784075446,296325.1884123566,232818.95847858142,165055.39166961977,158584.94544106617,96325.6231539506,26092.356893009608
2013-09-01,3436546.546378202,289168.32789027295,263989.40891724004,25012.9866636,2858375.822907089,143782.95081773578,8480.136792385452,98443.20123877654,523693.4233398435,46245.91485750179,171288.84272113693,426207.30695293477,70062.02463291636,188611.3194838248,124670.96148608568,341886.6607497447,239790.78072710836,174871.64379935453,169292.20499988637,104661.05337610986,26387.396931743333
2013-12-01,3679895.635404825,276250.8531035162,274903.85962688,26746.358417680003,3101994.564256749,201511.12224679824,6456.768736784456,114741.0561433312,553191.170051229,37451.535143563386,172562.11800457217,439846.4737636047,75159.76373937076,196857.07385600478,138756.8998206794,375606.76787488017,283205.7101281972,186896.85365308807,183489.1040625877,107805.04339516093,28457.1036368964
2014-03-01,3917648.8611710793,311838.91599210736,309691.18495808,27670.409867759998,3268448.350353132,183314.5480835679,5924.489160864568,157421.23384308428,590474.3878497367,44898.44957410672,192865.18864926006,493281.30981234025,88377.85385804663,224182.52819529522,135629.3695884487,345883.7427478457,282775.9082902085,201201.86392655564,176622.75366578382,114583.31886121348,31011.404246773294
2014-06-01,4702629.524920309,369985.6991250286,313730.04692224,29392.48605644,3989521.2928166008,513424.68326573935,15312.734195286093,170815.73312443058,680014.2786430883,51804.12223796864,209549.26694337785,549393.1503962188,84158.23332560423,262390.5671843226,153098.74809479454,384467.2324007642,324991.6926118554,222177.28304695064,210772.608047423,125556.75529215488,31594.204006620756
2014-09-01,4685503.118678275,377244.6924944915,343668.15938920004,32086.799789400004,3932503.467005183,246382.5297952137,12499.212605671495,173958.69479304217,700541.5773867221,63789.50685355932,225924.3767861852,573298.2346759564,94445.58665897122,256226.23980635728,166657.9018565121,443598.8899931702,334689.255356717,235098.74541230826,232582.35542662928,137424.99643614006,35385.363162027585
2014-12-01,5010564.196870732,439204.9294909372,357721.83814123995,31084.097915200004,4182553.331323355,242748.60626376737,9915.178061986919,178584.22837452224,734802.9450352461,50475.392859872976,220812.1196822412,597128.1737082417,103423.54505054616,268581.3429695618,183561.16492016098,490574.74986046733,403728.0960069701,257080.1368946508,260121.29682595425,143462.48069732275,37553.87411184214
2015-03-01,5092693.740328637,392806.04782097624,393857.66117795993,31586.925806360003,4274443.10552334,195379.3876073505,7832.486095335875,180604.36694988416,730491.4722712688,61168.20338939402,243619.57498416575,688400.1687446333,120726.2543758668,288693.5637316656,182536.34971511032,456264.23623078095,389883.85265998385,272177.8755649581,262531.732065733,152356.0140635724,41777.56707363689
