fecha,pbi,impo,oferta_global,demanda_global,consumo_priv,consumo_pub,expo,fbkf,var_existencias,objetos_valiosos,discrepancia
2011-03-01,1888827.151845796,304500.6501593711,2193327.802005167,2193327.802007229,1263267.5585228135,285502.1205122868,323761.2385363362,324979.6531987572,-4182.768762964857,,
2011-06-01,2237123.8354149116,359615.71855652856,2596739.55397144,2596739.553969588,1407332.3298145048,332038.1094049824,425057.051691508,369566.5201869676,62745.5428716252,,
2011-09-01,2250487.26379217,414749.294155323,2665236.557947493,2665236.5579477525,1462525.700752949,351599.40280647663,443868.20521517313,407570.7566978567,-327.50752470330497,,
2011-12-01,2339658.163470233,381685.89401679987,2721344.057487033,2721344.057490187,1464379.5314480003,398324.9435091351,415364.3613405137,401260.19434016163,42015.02685237672,,
2012-03-01,2345559.6033526314,338377.4579209998,2683937.061273631,2683937.06127198,1557362.136735966,377040.1878550367,374190.69936839136,372008.733862721,3335.303449865169,,
2012-06-01,2651098.0463880287,363318.0759562121,3014416.1223442405,3014416.122341766,1738478.5253077226,432601.4085457506,425243.60403295024,397240.4085732314,20852.17588211113,,
2012-09-01,2704827.5498552597,401200.0015063301,3106027.5513615897,3106027.5513592237,1767630.6246263226,443703.3803630535,465874.486893476,440523.4329356779,-11704.373459306378,,
2012-12-01,2850170.193266278,404797.04543316684,3254967.238699445,3254967.238699984,1784911.7253729894,503024.2596578395,448054.1834255227,463458.86081413575,55518.20942949577,,
2013-03-01,2888980.8590711113,410776.8031361589,3299757.66220727,3299757.6622068775,1948085.8427457437,473246.44010204246,396674.5832149477,458406.7910887563,23344.005055387148,,
2013-06-01,3387810.9120546845,491926.3455771451,3879737.2576318295,3879737.257629632,2193026.263725972,541488.8327361692,546612.4827461736,538931.0799620079,59678.59845931004,,
2013-09-01,3436546.546378202,530140.2610427754,3966686.8074209774,3966686.80742364,2293051.8870732225,566904.7344858202,532721.8421858447,575232.3098211049,-1223.9661423519012,,
2013-12-01,3679895.635404825,538206.0998560566,4218101.7352608815,4218101.735263412,2403705.037500406,669258.7393142002,481703.3209128157,609122.1619265543,54312.475609435955,,
2014-03-01,3917648.8611710793,621369.2076870145,4539018.068858094,4539018.068859741,2760478.8519005002,643214.1591828825,522171.20154701103,643352.1485256441,-30198.292296296608,,
2014-06-01,4702629.524920309,653674.3608377284,5356303.885758038,5356303.885759607,2955020.0745849963,742438.6844282924,761448.5026928732,737042.889381182,160353.73467226245,,
2014-09-01,4685503.118678275,668326.5051092552,5353829.62378753,5353829.6237890655,3052487.108041096,784978.3922570288,715356.2313178589,775663.7497076743,25344.14246540744,,
2014-12-01,5010564.196870732,621159.1949254471,5631723.391796179,5631723.391799208,3207804.8783261618,933966.6000701393,639581.3226691553,770884.8439430414,79485.74679070951,,
2015-03-01,5092693.740328637,615863.5257353279,5708557.266063965,5708557.266063965,3519817.7680830266,876631.581325372,533242.3438301923,794916.2359566732,-16050.663131299585,,
2015-06-01,5951478.855366601,679940.2582230843,6631419.113589685,6631419.113589687,3979552.2652580403,1042972.2908742311,688808.329890599,903500.3445534329,16585.883013382256,,
2015-09-01,6221730.755771598,752371.4791645654,6974102.234936163,6974102.234936161,4034499.9814302903,1102097.6312524863,696958.1773509461,1005506.2867745814,135040.15812785778,,
2015-12-01,6552140.231302531,757726.9957136208,7309867.227016152,7309867.227016153,4163611.04755868,1288978.4753488768,630868.0201169134,1003294.8987689825,223114.78522269998,,
2016-03-01,7006645.045106042,1051454.1009948829,8058099.146100925,8058099.146100923,4828308.207967198,1193932.8375958716,895990.0499715027,1070847.9838516088,69020.06671474183,0.0,
2016-06-01,8414556.482179211,1042576.3852645806,9457132.867443793,9457132.867443793,5531903.238537367,1376059.3251136823,1020670.9153240668,1149601.9975566901,378897.3909119847,0.0,
2016-09-01,8527628.82527803,1151236.5066138706,9678865.331891902,9678865.3318919,5624181.518856215,1501568.822777981,1111904.1466351708,1222179.6558822615,219031.1877402715,0.0,
