Periodo,ITCRM ,ITCRB Brasil,ITCRB Canadá,ITCRB Chile,ITCRB Estados Unidos,ITCRB México,ITCRB Uruguay,ITCRB China,ITCRB India,ITCRB Japón,ITCRB Reino Unido,ITCRB Suiza,ITCRB Zona Euro,ITCRB Vietnam,ITCRB Sudamérica*
1999-05-22,74.16996172088378,82.16390876675696,73.30140926736917,90.06332289212246,73.4095060142954,91.24928810357319,75.20250790277058,58.385690001278654,55.48551751262118,35.24335612312416,82.07958045959415,64.17266734361519,76.66997962313525,58.01081525775489,82.47657985388334
1999-05-23,74.1851372188232,82.1849420075734,73.31819048821804,90.08078869200783,73.42262361802113,91.28147751615732,75.21810072727514,58.38552375694399,55.5118212029285,35.24425079888316,82.10049288116306,64.17818018971936,76.68385489077491,58.01199868876889,82.4946104756188
1999-05-24,74.20031582173573,82.2059806327152,73.33497555086714,90.09825787900083,73.43574356574206,91.31367828398928,75.2336967848657,58.3853575130827,55.538137362870316,35.24514549735407,82.1214106308462,64.18369350941258,76.69773266947627,58.0131821439251,82.51264509886057
1999-05-25,74.21549753025673,82.2270246435608,73.35176445619608,90.11573045375832,73.44886585787698,91.34589041107485,75.24929607621266,58.38519126969477,55.56446599835805,35.2460402185375,82.142333710001,64.18920730273553,76.71161295969384,58.01436562322401,82.5306837245106
1999-05-26,74.2306823450215,82.24807404148872,73.36855720508446,90.13320641693724,73.46199049484485,91.3781139014211,75.26489860198646,58.385025026780184,55.590807115305914,35.246934962434025,82.1632621199853,64.1947215697289,76.72549576188207,58.0155491266661,82.54872635347081
1999-05-27,74.2458702666657,82.26912882787815,73.38535379841228,90.1506857691947,73.47511747706469,91.41034875903658,75.28050436285781,58.38485878433897,55.6171607196309,35.247829729044206,82.18419586215737,64.20023631043337,76.7393810764956,58.01673265425187,82.56677298664356
1999-05-28,74.84606977980889,82.88080303374599,73.73540947744466,91.83470080857369,73.48824680495552,90.95301991042928,75.62139741064746,58.38046105207978,55.42961297930206,36.30242615678673,83.06765854900755,64.90206333537193,77.76413039472838,58.00749257748631,83.44563375098905
1999-05-29,74.86138361240855,82.90201979321415,73.75229005591088,91.8525101282318,73.50137847893653,90.98510481042703,75.63707708957705,58.38029482263377,55.45589016727872,36.3033477177346,83.08882271535191,64.90763884129714,77.77820367513479,58.00867594071704,83.46386900367433
1999-05-30,74.87670057828521,82.92324198398687,73.76917449892375,91.87032290161562,73.51451249942693,91.01720102880442,75.6527600196014,58.38012859366108,55.482179812326095,36.304269302076904,83.10999227395054,64.9132148261943,77.79227950243808,58.00985932808859,83.48210830173464
1999-05-31,74.8937656403456,82.94446960745452,73.786062807368,91.88813912939493,73.52764886684604,91.04930856955417,75.66844620139464,58.38137278172446,55.599160887314014,36.30519090981423,83.1311672261773,64.91879129010452,77.8063578770992,58.021467006041625,83.50035164608137
1999-06-01,73.14662044589649,79.7082233402453,72.55430270710733,88.90845816948757,73.5277974031998,86.57585505249786,75.19611190360156,58.37183049208439,55.44758936086678,36.327126990406434,82.38274030657085,63.64454675678599,75.53772241375037,58.01515700777244,81.27093113777813
1999-06-02,72.86375018529398,79.3484964002507,72.74256714565138,88.91272844657212,73.52794593985362,86.59492832101421,75.19812997751625,58.35594511544937,55.502953558017936,36.13480788523162,82.38002190717945,62.97967648737747,74.91624411150983,58.008847695733365,81.15311827477969
1999-06-03,74.89675507793704,82.96069182137943,73.80241396840026,91.90137993920027,73.52809447680751,91.10949823298377,75.6745386154232,58.34640690527408,55.500190712703045,36.305410935273656,83.1229382115752,64.9269199408843,77.80578187425765,57.99628610099792,83.51220345866763
1999-06-04,74.8984019506644,82.96609993104107,73.80786516058357,91.90579396644664,73.52824301406147,91.129570294913,75.67656952910372,58.336870330719236,55.495748634758115,36.305484277389795,83.12019538772878,64.92962971731782,77.80558987425806,58.00248476721874,83.51615447553048
1999-06-05,74.90013858443845,82.97150839325099,73.8133167554027,91.91020820569891,73.5283915516155,91.1496467788583,75.67860049728883,58.325221597195295,55.4994493423794,36.30555761965409,83.11745265438786,64.93233960684603,77.80539787473225,57.996176833321584,83.52010569874624
1999-06-06,74.90187525847902,82.97691720803218,73.8187687528874,91.91462265696725,73.52854008946959,91.16972768579394,75.68063151998,58.31357518969591,55.50315029678062,36.305630962066544,83.11471001154943,64.9350496094736,77.80520587568027,57.98986958543005,83.52405712832648
1999-06-07,74.90259188251768,82.98232637540762,73.82422115306741,91.91903732026194,73.52868862762375,91.1898130166943,75.68266259717869,58.30193110775659,55.45687208539162,36.305704304627156,83.11196745921053,64.93775972520528,77.80501387710204,57.96064708938919,83.52800876428275
1999-06-08,74.90432861344173,82.98773589540032,73.82967395597248,91.92345219559307,73.52883716607796,91.20990277253405,75.68469372888636,58.29028935091301,55.46057020054868,36.30577764733594,83.10922499736819,64.9404699540458,77.80482187899764,57.95434370545757,83.53196060662658
1999-06-09,74.90606538463452,82.99314576803323,73.83512716163237,91.92786728297082,73.52898570483227,91.22999695428803,75.6867249151045,58.27864991870088,55.464268562312796,36.30585099019288,83.10648262601937,64.94318029599985,77.80462988136702,57.94804100703673,83.53591265536953
1999-06-10,73.12340011251418,79.16354715701543,73.78675325821641,88.94689804773326,73.52913424388663,86.7476658180287,75.21427651871632,58.26982842430766,55.429277586531114,36.88311113459292,81.89364041509214,63.58135929586413,75.89002970971474,57.93757576509622,81.10824057448833
1999-06-11,72.7837404140033,77.96782136988624,73.81373588873541,88.95117017108677,73.52928278324106,86.76677693766257,75.21629508012343,58.258193077742916,55.375036715498496,37.10619008569394,82.615953007045,64.05823157982887,75.76703164980357,57.947929585285,80.71176220703215
1999-06-12,72.78542801612183,77.97290400021137,73.81918791717811,88.95544249963059,73.52943132289556,86.78589226761022,75.21831369570364,58.24656005452961,55.37872937350281,37.10626504549834,82.61322691228851,64.06090510086554,75.7668446807931,57.941627584417816,80.7155533985152
1999-06-13,72.78711565736995,77.97798696186719,73.82464034831843,88.95971503337451,73.52957986285014,86.80501180879925,75.22033236545842,58.23492935420381,55.38242227775028,37.10634000545417,82.61050090748552,64.06357873348372,75.766657712244,57.935326268911034,80.71934478690004
1999-06-14,72.78880333774865,77.9830702548753,73.83009318218606,88.96398777232845,73.52972840310478,86.82413556215737,75.2223510893892,58.22330097630168,55.386115428257305,37.106414965561434,82.60777499263303,64.0662524776881,75.76647074415631,57.9290256386901,80.72313637219766
1999-06-15,72.5394948332472,77.98815387925728,73.63092632225927,88.96826071650219,73.5298769436595,86.84326352861258,75.22436986749744,58.208862116700644,55.0764022854991,36.28005502174518,81.28794251886373,63.19776703902591,75.15223590076671,57.889440357649924,80.72692815441897
1999-06-16,72.54117677215912,77.99323783503475,73.63636484802606,88.97253386590562,73.53002548451431,86.8623957090931,75.22638869978458,58.19723894391669,55.080075029208395,36.280128312638745,81.28526024472902,63.20040464789339,75.1520504488772,57.883144717651334,80.73072013357499
1999-06-17,72.72370932842453,79.01932906936486,73.73874340310451,88.97680722054862,73.53017402566917,86.88153210452718,75.22840758625208,58.18983571462718,55.29637727455835,36.68248900244361,81.41530097749259,62.77710671603314,74.67507723527758,57.89348402846461,81.07484795872185
1999-06-18,72.82063163016409,79.06946635117855,73.6903305659185,88.98108078044103,73.53032256712412,86.90067271584356,75.23042652690143,58.17891919721074,55.285324839150206,36.35898345797811,81.54533303979262,62.953980443224715,75.02887088048153,57.89134755693656,81.09365788617366
1999-06-19,72.82232008766175,79.07462079644083,73.69577347940013,88.9853545455927,73.53047110887913,86.91981754397091,75.23244552173402,58.167302003442934,55.289011514760695,36.359056908318394,81.54264227249253,62.9566078774655,75.02868573301775,57.88505170952464,81.09747362125584
1999-06-20,72.8240085843089,79.07977557771531,73.70121679490612,88.98962851601348,73.53061965093423,86.93896658983827,75.23446457075136,58.155687129401805,55.29269843621539,36.35913035880706,81.53995159398025,62.95923542136435,75.02850058601092,57.87875654680391,81.10128955482672
1999-06-21,72.8256971201064,79.0849306950239,73.70666051246613,88.99390269171326,73.53076819328939,86.95811985437486,75.23648367395485,58.14407457462414,55.296385603530695,36.3592038094441,81.53726100425278,62.9618630749258,75.02831543946094,57.87246206869989,81.10510568689733
1999-06-22,72.47657706723115,78.37595381800935,73.38885318656635,88.9981770727019,73.53091673594464,86.97727733851005,75.23850283134601,58.12754863032767,55.22966783116929,35.94386759820645,81.1875062908362,62.75147856713504,74.60191618906313,57.86616827513812,80.87087790735242
1999-06-23,72.26657071121197,77.76660809834124,73.2865153918214,89.0024516589892,73.53106527889996,86.99643904317345,75.24052204292624,58.11383563722974,55.156744206143465,35.9045855308914,80.62852217088205,62.66695252928609,74.51504469467089,57.826633110578726,80.66986060008556
1999-06-24,72.43551921902264,77.77167761181052,73.36736495855003,89.00672645058512,73.53121382215537,87.01560496929488,75.24254130869701,58.10574091831786,55.074487773787915,35.94401282184703,81.10559522936374,63.07626171956282,75.07832752806912,57.839036222694524,80.67364845703088
1999-06-25,72.40496137231044,77.17179713307888,73.66377478807932,89.01100144749942,73.53136236571085,87.03477511780434,75.2445606286598,58.09694566455897,55.08133858719704,36.07964098722683,81.16926291546025,63.33066755339338,75.54047277954237,57.80160295924514,80.47578640307937
1999-06-26,72.40664019185871,77.17682787152282,73.66921574009869,89.015276649742,73.53151090956642,87.0539494896321,75.24658000281603,58.085344839304476,55.08501166008128,36.07971387325542,81.16658455741961,63.33331070896911,75.54028636960734,57.79531687181149,80.47956150802695
1999-06-27,72.40831905033296,77.18185893791467,73.67465709399757,89.01955205732276,73.53165945372206,87.07312808570852,75.24859943116718,58.07374633050817,55.088684977902616,36.07978675943125,81.16390628775727,63.33595397485902,75.54009996013234,57.78903146800757,80.48333680880154
1999-06-28,72.45493092852125,77.96660220336815,73.50762166156903,89.02382767025153,73.53180799817778,87.0923109069643,75.25061891371467,58.05864312211573,55.06693814222745,36.11921472232829,80.90608435259897,62.90278131424842,74.92588537364338,57.78274674775906,80.74701626244479
1999-06-29,72.58228034830975,78.678084177723,73.04948439900151,89.02810348853818,73.53195654293357,87.11149795433022,75.25263845046,58.042842925831984,55.045211610639534,36.19799800045515,80.49519814296406,62.59548005097973,74.70176134467215,57.77024082183472,80.9862753722404
1999-06-30,72.46303966474548,78.50549010377947,73.30285256384111,89.03237951219253,73.53210508798946,87.13068922873732,75.25465804140458,58.03055193323955,55.05357957049122,36.18057990976854,80.49254202717053,62.43343716583005,74.44151929508322,57.74944719206206,80.93084255245886
1999-07-01,72.42404427032955,78.75062987212128,73.3143277367844,89.02924562382357,73.5376814287314,87.14398755144231,75.2597662833677,58.05342077470588,55.05001573694257,36.29269866614812,80.41105585832781,61.907137659496605,74.04330794955939,57.73853196648362,81.01321392643752
1999-07-02,72.26971910540352,78.63983597755085,73.76784957349844,85.20317417025649,73.54325819235771,91.76922433084228,74.02736728232135,58.076298636862894,55.03846609010129,36.2385410213445,80.54890427752723,61.8554383053449,74.01351240639372,57.715191344883564,79.29012581004288
1999-07-03,72.27922480416733,78.66262280203837,73.76854762785548,85.20017506770533,73.54883537890042,91.78323061003438,74.03239221650898,58.098483715148596,55.0522915091131,36.26755638787233,80.52861895416308,61.85216460761315,74.01261182363002,57.70428259400433,79.29839669541757
1999-07-04,72.28873175322393,78.68541622927833,73.76924568881813,85.19717607072087,73.55441298839162,91.79723902693503,74.03741749178619,58.1206772681083,55.06612040100896,36.296594986336956,80.5083387394264,61.84889108314178,74.01171125182444,57.69337590498858,79.30666993059513
1999-07-05,72.27483740050307,78.8866143709217,73.59743292620489,85.19417717929933,73.55999102086338,91.81124958187051,74.04244310817614,58.14147466107001,55.27100359138083,35.91296506080232,80.26383450705853,61.7778364067105,73.83744943228243,57.68661082111717,79.37441155279906
