periodo,anio,trimestre,pbi_pesos_mm,tc_mep_promedio,obs_mep_en_trim,pbi_usd_mm,source
2013Q1,2013,1,2888980.859071112,7.69438596491228,57,375466.0699691125,mep
2013Q2,2013,2,3387810.9120546845,8.588166666666666,60,394474.2857871899,mep
2013Q3,2013,3,3436546.546378202,8.578125,64,400617.44802951714,mep
2013Q4,2013,4,3679895.635404825,8.888333333333332,60,414014.13486647204,mep
2014Q1,2014,1,3917648.8611710793,10.395166666666666,60,376872.1547999307,mep
2014Q2,2014,2,4702629.524920309,10.199830508474575,59,461049.7714656247,mep
2014Q3,2014,3,4685503.118678275,11.62921875,64,402907.81516843295,mep
2014Q4,2014,4,5010564.196870732,12.51322033898305,59,400421.6389653969,mep
2015Q1,2015,1,5092693.740328637,12.069830508474576,59,421935.81233414257,mep
2015Q2,2015,2,5951478.855366601,11.977213114754099,61,496900.1384834079,mep
2015Q3,2015,3,6221730.755771598,13.4434375,64,462808.02479065326,mep
2015Q4,2015,4,6552140.231302531,14.123833333333332,60,463906.6517330658,mep
2016Q1,2016,1,7006645.045106042,14.683166666666667,60,477188.9609488899,mep
2016Q2,2016,2,8414556.482179211,14.29951612903226,62,588450.4347035328,mep
2016Q3,2016,3,8527628.82527803,15.03859375,64,567049.6169416127,mep
2016Q4,2016,4,8963807.87358243,15.52967213114754,61,577205.2235155633,mep
2017Q1,2017,1,9240877.73099836,15.750483870967741,62,586704.3709070877,mep
2017Q2,2017,2,10558208.304643149,15.797166666666667,60,668360.885684763,mep
2017Q3,2017,3,11116422.3178693,17.33796875,64,641160.5925791797,mep
2017Q4,2017,4,11725405.625723016,17.579,60,667012.0954390474,mep
2018Q1,2018,1,12457790.347179033,19.720833333333335,60,631707.0955679205,mep
2018Q2,2018,2,14431394.012697566,23.603833333333334,60,611400.4369077438,mep
2018Q3,2018,3,15276275.65339034,31.925238095238093,63,478501.541877895,mep
2018Q4,2018,4,16813782.695796333,37.32559322033898,59,450462.57125886437,mep
2019Q1,2019,1,17484108.85697476,39.14524590163935,61,446647.0564754467,mep
2019Q2,2019,2,21233558.154751204,44.078813559322036,59,481718.00554873626,mep
2019Q3,2019,3,22303884.00877951,52.853809523809524,63,421991.98524624953,mep
2019Q4,2019,4,25212225.57629694,71.13300000000001,60,354437.82177466067,mep
2020Q1,2020,1,24999988.08261283,81.89186440677966,59,305280.48498726246,mep
2020Q2,2020,2,24025361.93909904,107.54950000000001,60,223388.87618351585,mep
2020Q3,2020,3,27536379.50539245,121.42539682539683,63,226776.11294932212,mep
2020Q4,2020,4,32277527.04604609,145.6503448275862,58,221609.68505948034,mep
2021Q1,2021,1,36785109.793720186,145.64399999999998,60,252568.65915327918,mep
2021Q2,2021,2,46340281.47592878,154.69383333333332,60,299561.27194854,mep
2021Q3,2021,3,47462528.98909955,171.616875,64,276560.9674986772,mep
2021Q4,2021,4,54288413.782466695,192.60216666666665,60,281868.1363871817,mep
2022Q1,2022,1,60345325.42659544,198.05672131147543,61,304687.086744675,mep
2022Q2,2022,2,78676963.28324091,210.815593220339,59,373202.7696879604,mep
2022Q3,2022,3,87863363.94194473,286.92140625,64,306227.9844864127,mep
2022Q4,2022,4,104354529.22768565,307.798,60,339035.76120600407,mep
2023Q1,2023,1,120719556.7726799,358.7824193548387,62,336470.10070827155,mep
2023Q2,2023,2,159215855.41502434,446.3189655172414,58,356731.09976518305,mep
2023Q3,2023,3,206516399.8417453,591.72578125,64,349006.93257861206,mep
2023Q4,2023,4,283181180.08567715,894.2818644067796,59,316657.6348649594,mep
2024Q1,2024,1,423472034.4071885,1103.2856666666667,60,383828.0938486362,mep
2024Q2,2024,2,559938388.8647271,1130.503559322034,59,495299.9787108354,mep
2024Q3,2024,3,642862095.294979,1291.418,65,497795.5203466105,mep
2024Q4,2024,4,709365943.3672845,1124.7026666666668,60,630714.2006426153,mep
2025Q1,2025,1,723984891.7741555,1205.838,60,600399.7981272406,mep
2025Q2,2025,2,833779385.5021062,1198.039827586207,58,695952.9777753655,mep
2025Q3,2025,3,893277009.9832231,1348.82765625,64,662261.7840345184,mep
2025Q4,2025,4,939450203.4897724,1484.7541068965515,58,632731.1701823954,mep
