Date,Country,Indice de Confianza del Consumidor (ICC) - Nacional,Indice de Confianza del Consumidor (ICC) - Capital,Indice de Confianza del Consumidor (ICC) - Interior,Indice de Confianza del Consumidor (ICC) - Gran Buenos Aires,Indice de Confianza del Consumidor (ICC) - Situación Personal,Indice de Confianza del Consumidor (ICC) - Situación Macroeconómica,Indice de Confianza del Consumidor (ICC) - Bienes Durables e Inmuebles,Indice de Confianza del Consumidor (ICC) - Expectativas a corto plazo,Indice de Confianza del Consumidor (ICC) - Expectativas a mediano plazo,Indice de Confianza en el Gobierno (ICG) - Nivel General,Indice de Confianza del Consumidor (ICC) - Bienes Durables e Inmuebles - current_prices_3m_yoy,Indice de Confianza del Consumidor (ICC) - Capital - current_prices_3m_yoy,Indice de Confianza del Consumidor (ICC) - Expectativas a corto plazo - current_prices_3m_yoy,Indice de Confianza del Consumidor (ICC) - Expectativas a mediano plazo - current_prices_3m_yoy,Indice de Confianza del Consumidor (ICC) - Gran Buenos Aires - current_prices_3m_yoy,Indice de Confianza del Consumidor (ICC) - Interior - current_prices_3m_yoy,Indice de Confianza del Consumidor (ICC) - Nacional - current_prices_3m_yoy,Indice de Confianza del Consumidor (ICC) - Situación Macroeconómica - current_prices_3m_yoy,Indice de Confianza del Consumidor (ICC) - Situación Personal - current_prices_3m_yoy,Indice de Confianza en el Gobierno (ICG) - Nivel General - current_prices_3m_yoy,Indice de Confianza del Consumidor (ICC) - Bienes Durables e Inmuebles - current_prices_yoy,Indice de Confianza del Consumidor (ICC) - Capital - current_prices_yoy,Indice de Confianza del Consumidor (ICC) - Expectativas a corto plazo - current_prices_yoy,Indice de Confianza del Consumidor (ICC) - Expectativas a mediano plazo - current_prices_yoy,Indice de Confianza del Consumidor (ICC) - Gran Buenos Aires - current_prices_yoy,Indice de Confianza del Consumidor (ICC) - Interior - current_prices_yoy,Indice de Confianza del Consumidor (ICC) - Nacional - current_prices_yoy,Indice de Confianza del Consumidor (ICC) - Situación Macroeconómica - current_prices_yoy,Indice de Confianza del Consumidor (ICC) - Situación Personal - current_prices_yoy,Indice de Confianza en el Gobierno (ICG) - Nivel General - current_prices_yoy,Indice de Confianza del Consumidor (ICC) - Bienes Durables e Inmuebles - current_prices_mom,Indice de Confianza del Consumidor (ICC) - Capital - current_prices_mom,Indice de Confianza del Consumidor (ICC) - Expectativas a corto plazo - current_prices_mom,Indice de Confianza del Consumidor (ICC) - Expectativas a mediano plazo - current_prices_mom,Indice de Confianza del Consumidor (ICC) - Gran Buenos Aires - current_prices_mom,Indice de Confianza del Consumidor (ICC) - Interior - current_prices_mom,Indice de Confianza del Consumidor (ICC) - Nacional - current_prices_mom,Indice de Confianza del Consumidor (ICC) - Situación Macroeconómica - current_prices_mom,Indice de Confianza del Consumidor (ICC) - Situación Personal - current_prices_mom,Indice de Confianza en el Gobierno (ICG) - Nivel General - current_prices_mom
2002-01-01,Argentina,34.19,35.35,30.25,36.88,35.25,59.6,7.74,51.72,67.47,1.36,,-10.099549051306056,,,,,,,,,,-21.25194920917799,,,,,,,,,-54.092526690391466,-0.1976284584980225,50.78717201166181,18.368421052631568,29.76776917663617,-7.746264104910027,9.61846745751842,30.55859802847756,13.526570048309171,
2002-02-01,Argentina,30.82,31.98,31.67,29.75,32.22,51.51,8.74,38.86,64.16,0.986,,-20.71759259259258,,,,,,,,,,-31.417542354707276,,,,,,,,,12.919896640826869,-9.533239038189532,-24.8646558391338,-4.905884096635549,-19.33297180043384,4.694214876033054,-9.856683240713648,-13.573825503355708,-8.59574468085107,-27.500000000000004
2002-03-01,Argentina,32.76,31.94,33.04,32.84,30.64,51.94,15.71,40.26,63.63,0.866,,-25.60143895675634,,,,,,,,,-47.78996344300431,-23.78907182056788,8.576051779935279,22.10708117443869,-13.006622516556288,-15.821656050955411,-15.978456014362663,16.483516483516468,-27.56501182033097,,79.74828375286043,-0.1250781738586615,3.602676273803396,-0.8260598503740502,10.386554621848742,4.325860435743589,6.294613887086298,0.8347893612890678,-4.903786468032278,-12.17038539553752
2002-04-01,Argentina,30.11,33.44,28.54,30.17,30.33,47.84,12.18,36.8,58.89,0.786,,-25.95071493763309,,,,,,,,,-48.19225861335602,-22.12389380530973,-24.71358428805238,-0.1017811704834614,-20.24848004229447,-34.13339487652897,-26.001474563774885,-11.25950658504914,-32.11727842435095,,-22.469764481222157,4.696305572949266,-8.594138102334824,-7.449316360207447,-8.130328867235082,-13.61985472154964,-8.089133089133082,-7.893723527146701,-1.0117493472584949,-9.237875288683597
2002-05-01,Argentina,29.34,31.29,29.96,28.17,28.47,48.38,11.18,33.33,63.44,0.47,-49.81374438021837,-21.40011383039272,-14.439621764067589,10.795996186844636,-18.523813778929497,-25.64977257959714,-21.756470089096315,-0.1751785473655731,-29.768354927365525,,-53.89690721649485,-17.96014682747772,-22.59637714816536,11.729482212046484,-22.460776218001644,-26.097681302417364,-23.13335079905685,-3.084935897435892,-29.477334654446373,,-8.210180623973729,-6.429425837320569,-9.429347826086952,7.726269315673284,-6.629101756711964,4.975473020322352,-2.557289936898044,1.1287625418060276,-6.132542037586541,-40.203562340966926
2002-06-01,Argentina,31.6,29.97,28.15,34.9,28.31,52.89,13.61,39.02,66.76,0.484,-48.66703693418495,-23.07692307692309,-21.145788180898727,5.483655026218903,-19.848706266655192,-28.829568788501025,-23.762873649836724,-6.119750676824253,-31.67307239783512,,-43.899422918384175,-28.69379014989294,-16.0499139414802,5.084212183220527,-17.239743893763347,-25.68637803590285,-22.10993344836085,-3.8363636363636378,-33.294062205466545,,21.735241502683355,-4.218600191754551,17.071707170717087,5.233291298865073,23.89066382676606,-6.041388518024037,7.702794819359249,9.322033898305085,-0.561995082543032,2.9787234042553123
2002-07-01,Argentina,31.75,32.83,32.13,31.08,31.32,54.57,9.38,41.32,67.81,0.408,-53.18536785861077,-22.93390122041117,-9.114895658431289,9.506691737639628,-16.555880528228293,-22.706638115631684,-19.956822107081184,1.89616843206486,-27.48971193415639,,-61.68300653594771,-21.684160305343514,16.29608781311567,12.064121632787984,-9.466938537722116,-16.175319593008076,-14.32811656772801,13.640149937526026,-19.048849831997927,,-31.080088170462883,9.542876209542882,5.894413121476161,1.5727980826842458,-10.945558739255013,14.138543516873913,0.4746835443038,3.176403857061816,10.632285411515374,-15.70247933884298
2002-08-01,Argentina,32.92,33.75,34.0,31.78,32.14,54.61,12.0,42.52,66.71,0.326,-50.82911748173131,-21.75216792284628,-0.3972436157275938,8.156904889844153,-14.18539325842697,-15.57266947255307,-16.038723181580327,4.750517063081694,-22.3078225533356,,-46.4763603925067,-14.426977687626774,2.854378326076445,7.492748952626482,-15.07215392838055,-4.117315284827983,-11.099108830677828,5.628626692456473,-13.111651797783184,,27.93176972281448,2.802314955833074,2.904162633107465,-1.6221796195251548,2.2522522522522515,5.820105820105814,3.685039370078736,0.0733003481766525,2.618135376756059,-20.09803921568627
2002-09-01,Argentina,28.44,31.08,31.08,25.42,29.42,45.56,10.34,33.46,57.65,0.408,-53.3254855797528,-16.22919883341911,6.820872415991275,9.855370719716428,-14.291262135922334,-9.78190255220418,-12.973175063090014,8.688628222237838,-16.082399710878224,,-50.902184235517566,-11.754684838160134,1.578627808136024,10.103132161955685,-18.655999999999995,-8.48056537102474,-13.55623100303951,6.822977725674106,-15.942857142857136,,-13.83333333333333,-7.911111111111113,-21.307619943555977,-13.58117223804527,-20.012586532410317,-8.588235294117652,-13.608748481166463,-16.572056399926748,-8.462974486621032,25.153374233128822
2002-10-01,Argentina,36.44,38.04,35.33,36.75,36.89,57.59,14.86,46.03,69.15,0.51,-39.73756682326261,-3.877779854232855,15.704125177809392,14.489409537332843,-5.444847020933974,-2.590221187427244,-4.098842910374579,14.951909064412703,-8.025037369207766,,-18.57534246575343,17.55253399258343,47.67404555662496,26.648351648351664,19.74584555229717,4.961378490790258,13.697347893915769,34.273723478666355,5.249643366619128,,43.7137330754352,22.393822393822397,37.56724447101016,19.947961838681707,44.57120377655388,13.674388674388682,28.129395218002795,26.404741000877973,25.390890550645807,25.0
