fecha,sector,tramo,valor
2018-06-01,bcra,m3a6,1160.35
2018-06-01,bcra,m6a9,5.88
2018-06-01,bcra,m9a12,13077.88
2018-06-01,bcra,mas_2y,2385.263
2018-06-01,bcra,pago_inmediato,0.0
2018-06-01,gobierno,m0a3,3145.084
2018-06-01,gobierno,m12a18,7121.271
2018-06-01,gobierno,m18a24,12029.624
2018-06-01,gobierno,m3a6,8787.936
2018-06-01,gobierno,m6a9,5585.084
2018-06-01,gobierno,m9a12,12827.433
2018-06-01,gobierno,mas_2y,198915.74
2018-06-01,gobierno,pago_inmediato,3175.108
2018-06-01,inversion_directa,m0a3,4498.675
2018-06-01,inversion_directa,m12a18,312.066
2018-06-01,inversion_directa,m18a24,205.445
2018-06-01,inversion_directa,m3a6,1225.979
2018-06-01,inversion_directa,m6a9,697.159
2018-06-01,inversion_directa,m9a12,436.856
2018-06-01,inversion_directa,mas_2y,3950.671
2018-06-01,inversion_directa,pago_inmediato,11995.658
2018-06-01,no_financieras,m0a3,7921.93
2018-06-01,no_financieras,m12a18,2504.393
2018-06-01,no_financieras,m18a24,1268.804
2018-06-01,no_financieras,m3a6,1845.084
2018-06-01,no_financieras,m6a9,1171.8
2018-06-01,no_financieras,m9a12,748.991
2018-06-01,no_financieras,mas_2y,18073.155
2018-06-01,no_financieras,pago_inmediato,13463.859
2018-06-01,otras_financieras,m0a3,816.496
2018-06-01,otras_financieras,m12a18,18.42
2018-06-01,otras_financieras,m18a24,23.908
2018-06-01,otras_financieras,m3a6,35.134
2018-06-01,otras_financieras,m6a9,41.42
2018-06-01,otras_financieras,m9a12,9.762
2018-06-01,otras_financieras,mas_2y,2324.117
2018-06-01,otras_financieras,pago_inmediato,380.788
2018-06-01,otros_sectores,m0a3,8738.426
2018-06-01,otros_sectores,m12a18,2522.813
2018-06-01,otros_sectores,m18a24,1292.712
2018-06-01,otros_sectores,m3a6,1880.218
2018-06-01,otros_sectores,m6a9,1213.22
2018-06-01,otros_sectores,m9a12,758.753
