indice_tiempo,ica_saldo_comercial_brasil,ica_saldo_comercial_paraguay,ica_saldo_comercial_uruguay,ica_saldo_comercial_venezuela,ica_saldo_comercial_total_mercosur,ica_saldo_comercial_bolivia,ica_saldo_comercial_chile,ica_saldo_comercial_colombia,ica_saldo_comercial_mexico,ica_saldo_comercial_peru,ica_saldo_comercial_total_alianza_pacifico,ica_saldo_comercial_ecuador,ica_saldo_comercial_resto_america_latina,ica_saldo_comercial_total_america_latina,ica_saldo_comercial_canada,ica_saldo_comercial_estados_unidos,ica_saldo_comercial_alemania,ica_saldo_comercial_austria,ica_saldo_comercial_belgica,ica_saldo_comercial_espana,ica_saldo_comercial_francia,ica_saldo_comercial_italia,ica_saldo_comercial_paises_bajos,ica_saldo_comercial_polonia,ica_saldo_comercial_portugal,ica_saldo_comercial_reino_unido,ica_saldo_comercial_resto_ue,ica_saldo_comercial_total_ue,ica_saldo_comercial_suiza,ica_saldo_comercial_india,ica_saldo_comercial_rusia,ica_saldo_comercial_china,ica_saldo_comercial_corea,ica_saldo_comercial_indonesia,ica_saldo_comercial_japon,ica_saldo_comercial_tailandia,ica_saldo_comercial_taiwan,ica_saldo_comercial_vietnam,ica_saldo_comercial_resto_asia_pacifico,ica_saldo_comercial_total_asia_pacifico,ica_saldo_comercial_israel,ica_saldo_comercial_australia,ica_saldo_comercial_nueva_zelanda,ica_saldo_comercial_angola,ica_saldo_comercial_argelia,ica_saldo_comercial_egipto,ica_saldo_comercial_marruecos,ica_saldo_comercial_sudafrica,ica_saldo_comercial_resto_africa,ica_saldo_comercial_total_africa,ica_saldo_comercial_resto_mundo,ica_saldo_comercial_totales,ica_saldo_comercial_aladi,ica_saldo_comercial_asean,ica_saldo_comercial_medio_oriente,ica_saldo_comercial_mercado_comun_centroamericano,ica_saldo_comercial_can,ica_saldo_comercial_total_nafta
2000-01-01,512.3561129999989,300.77376,398.1407620000001,188.950784,1400.2214190000013,248.806243,2066.212273,75.92665,-256.920763,266.68041500000004,2151.8985749999997,-68.96243200000004,264.457495,3996.4213,-35.49573300000003,-1666.067646,-666.358015,-77.02848,95.91918899999999,11.814059999999927,-447.26992499999994,-278.93489599999987,560.27158,4.426109000000007,89.964572,-297.5267400000001,-1191.4558580000003,-186.733312,-167.20239400000003,291.99074400000006,-9.582921999999982,-336.898725,-382.0992110000001,-42.407669,-626.2864680000001,53.428064000000006,-214.39095000000003,15.347809,-23.16678899999988,-1556.473939,-43.126051000000004,-2.757450999999975,45.308753,-3.4349680000000014,30.581396000000005,338.22326899999996,83.75677400000001,156.16734,21.799338000000034,627.0931489999999,771.8918189999999,1060.5437710000078,3751.3554050000002,-0.11442399999998543,675.8306460000001,103.864033,522.4508760000001,-1958.476642
2001-01-01,910.0600450000002,197.38109300000002,417.2419020000001,209.546669,1734.2297090000002,248.70880400000001,2344.1416990000002,137.17197499999997,47.799758999999995,372.79895500000003,2901.9123879999997,-13.733144000000038,327.895853,5199.013610000001,23.351744999999994,-912.6649969999999,-596.4500079999999,-76.98430700000002,122.06949199999997,380.94012499999985,-461.6613060000001,14.451367000000118,660.776204,4.496172999999999,93.59732199999999,-55.74746399999992,-30.93912300000102,-116.42672099999999,-156.508212,284.44154100000003,41.76856400000001,111.76497600000016,-19.800636000000054,-61.866616999999984,-416.410204,175.943502,-199.118088,50.735195000000004,170.58635299999992,-188.16551899999968,11.289765000000017,7.720246000000003,-13.605574,18.233978999999998,155.894115,339.16745499999996,110.50953500000001,188.38211499999997,190.57870199999994,1002.765901,954.6792069999998,6223.147154000006,4889.873246000002,333.51726700000006,907.2582670000002,129.95716499999997,744.94659,-841.5378610000002
2002-01-01,2329.7672210000005,89.32132899999999,422.84724299999993,141.15358700000002,2983.089424,284.425446,2782.358925,172.348619,512.524349,430.7430489999999,3897.9749179999994,139.21937200000002,305.992274,7610.701472000001,121.14469299999998,1103.4601480000001,51.33197100000007,-29.520613000000004,168.12432699999997,823.905823,63.31145700000002,540.2408130000001,970.9532580000001,41.362491,101.311654,263.229505,3178.8420159999996,184.59138500000006,-100.846122,356.107665,135.128252,834.6312989999997,261.38170299999996,38.60638800000002,55.479715999999996,285.3555789999999,23.76266899999999,69.27409800000001,308.382783,1876.874208,36.323105999999996,45.97196199999999,2.93652,29.38405,116.10722700000001,403.464802,87.08644,259.053944,294.264882,1189.361354,1104.8714459999999,16660.87712,7333.874649999999,700.685591,52.349044,966.4392320000001,1026.736486,1737.103418
2003-01-01,-41.2538029999987,150.96007199999997,380.45944199999997,130.832191,620.9979199999998,219.21230500000001,3248.1151409999993,206.776504,557.959629,398.036945,4410.888207999999,96.16751500000001,385.2189880000001,5732.484927999999,126.394766,1125.7140060000002,-49.299408000000085,-49.24481300000001,125.125822,996.064984,26.341962000000024,487.8055850000001,985.8405830000002,99.94797200000001,100.905076,393.5803659999999,3286.4340000000007,169.36591600000008,-160.134963,422.3382499999999,-86.237462,1838.4479960000003,232.40578200000002,5.356243000000006,-48.73799700000001,376.354605,-4.640262999999976,131.037689,331.04910199999995,2861.273152,61.066609,52.98197400000001,4.192999,64.102594,207.862713,440.14784799999995,172.08769600000002,280.004356,279.018344,1443.2235529999998,1218.246618,16087.978176000002,5407.3798400000005,842.7076589999999,95.03914800000001,794.856071,920.193269,1810.1954499999997
2004-01-01,-1997.6468380000006,141.94717000000014,456.51128200000005,403.634852,-995.5534079999989,159.872814,3430.7470510000007,227.07140700000002,277.96134700000005,466.52654600000005,4402.306336,141.79420999999996,603.391922,4311.811968,47.01515599999999,333.1746269999999,-365.81398300000023,-76.168561,108.81498099999999,837.7286760000001,-268.3580460000001,324.50677399999995,1111.6787279999999,140.866315,81.38515900000002,85.20486800000003,2074.896160000001,95.05122,-227.09827099999998,406.404535,205.317449,1306.404693,11.019335999999953,140.948873,-249.5278899999999,157.51342200000002,-103.440845,134.67654799999997,310.110782,1707.7049280000006,116.75553500000001,50.508763000000016,-0.8260609999999993,80.937812,451.76603300000005,578.764511,204.75625999999997,509.127325,560.3119859999999,2385.663965,719.1238339999999,12130.45248,3861.6298129999996,738.8516769999999,169.44909,864.0951629999998,995.264977,659.0719440000003
2005-01-01,-3958.130076901619,56.17420016007014,590.85932375902,481.04066092551,-2830.055807999999,110.83011038543003,3951.4450392052395,307.60774096061004,365.43512034867,554.87487095109,5179.362783999999,204.36920965604006,686.7863173677099,3351.2926080000016,143.04197758259,487.3555453014592,-431.88865355839005,-92.18647429692,93.66485114290998,995.7987600301802,-183.39166106028,235.7434163839199,1247.4849140835302,246.64206540368997,67.60802981644,-2.7856649329798984,2233.766976,57.07750545851002,-159.06267407146998,477.17789821058994,448.1599331376001,1065.3226871236793,-42.901971495400005,225.96228040957996,-484.6089627174599,-8.635409545830043,-118.51698784974002,174.88906849232,429.33641526729997,1240.8470880000004,128.47149813586,8.89117560746999,0.8248838350399996,139.26195627014,451.81646773191005,554.8622139120101,180.02096585972998,382.46132999966005,604.08917220812,2312.5121124999996,1026.59304284703,11699.872767999997,2801.44703891447,813.9708418121999,249.09283509109997,1022.14046963215,1177.68189250084,1003.8554514456009
2006-01-01,-3730.4760469370285,117.52342868707001,889.2761923085,784.67273824607,-1939.0035840000019,57.93128021141007,3805.15036017442,494.9186372046101,408.2476822998897,677.17700354072,5385.493656,230.91601217485004,939.8075194201801,4675.144896,252.2266007180901,-223.5571519883606,-420.45462515702025,-108.78159713622001,70.33330649289007,1212.6613469294502,-339.6519735405699,187.55627472273022,1348.8367375219398,253.14016849319,14.14094301561002,114.2840777050501,2437.8516800000016,105.78704050790003,258.6718587372801,605.3686447239,-190.12779289751998,493.45276066731003,-10.670937944429966,131.5484234593,-534.82784246836,-117.45708939685005,-195.10534291968997,159.90134986713997,456.0642920052701,382.9055040000003,39.97373473895,-2.8459226523799828,2.6546096412299995,138.44359831580002,521.9161308361699,308.50322318089997,169.25324382443998,797.95769267026,778.07337154528,2714.147294,1440.1066198773603,12392.520704000002,3914.080421725992,620.1259319169301,392.87208684416004,994.3902957829499,1460.9429298760501,438.9142260048993
2007-01-01,-4162.25256631011,-277.39264391767006,738.79269897218,1154.8898689205,-2545.962496000002,242.58411687062997,3472.5791507038,485.43235219865005,102.90727508221016,842.0003137195802,4902.919103999999,235.42903747025,962.5185689656699,3797.488000000001,57.31643100923009,-1119.9054582488698,-866.51225339998,-134.37168463528002,162.71572387027004,1252.19573097133,-433.8432823005202,315.83765499527,1599.22392122028,309.78187144405996,107.03924691133003,-1.7850541365999106,2560.515168000001,250.23340312442008,249.78745041835998,484.96390656907994,354.55145368128,235.8356971056919,174.98690033607988,194.50070796620997,-513.96860437394,-89.5565571679,-244.73211696692002,279.11110637236,527.4897742658098,563.6669120000006,87.30553898772999,48.82514918968002,15.99710332403,165.9787315592,746.0842166242899,538.4104535879001,298.00785113405004,868.3682362924701,1139.94743286315,3756.796912,415.5363584178299,11272.845055999998,3025.8285681881716,901.73896597566,251.77256804607995,1388.5352667888799,1805.4458243706497,-950.3349814767907
2008-01-01,-4703.480865926938,-695.11821306763,1260.2715230984202,1394.48955737607,-2743.837888000002,458.02275751971,3761.7954987428698,656.2735024564099,-258.8273113479397,1192.10149448351,5351.343264000001,319.49293284412,663.9130057987797,4048.9346559999976,153.44881400356002,-1841.9559050316884,-1025.6259291944502,-173.84749291339,238.88487471735,1713.8742522895202,-549.03208528915,483.36466766435024,2899.1478736575395,340.5371155487601,253.81469845219002,-62.74130536140956,4388.5776000000005,270.2008949195799,427.69318163573996,337.90214620750993,-639.26708856216,-580.8381714122806,-143.98974357885982,166.63011642448998,-858.8305412596699,-89.10582145038006,-328.55635650553006,231.66918171863998,472.59955828014995,-1130.4217599999993,67.56845232324002,25.374285776880015,22.916076186669997,213.15582404241002,891.2743453349799,949.6171076132199,404.51687780170994,789.6333503626299,1315.25151827517,4563.449026000001,2129.44108371054,12553.661183999997,3524.9038364242624,769.6052124571602,121.77827330435,2538.6784058181793,2625.8906872667403,-1904.2045497170593
2009-01-01,-683.9522755627113,146.4023693880199,1284.9435686755698,1027.06696901063,1774.4605440000032,368.24894772601,3723.22503536413,765.5780884422797,-228.63372456249,726.5030997031602,4986.672536000001,317.16827854186,483.4676724924799,7930.018112,212.72280779606004,-1650.24176225456,-602.4328732976498,-126.51642983513999,254.59213815536003,1064.37641377537,-343.99728983251003,651.7601947707201,2219.4382730609395,363.11739391354,54.76855653329004,45.27059776024987,3967.2138240000004,386.8366866665,546.1004911244,280.29773789128,734.99378626044,-894.7675749088203,-28.20736231821013,424.9707702910801,-415.6232995257001,9.922529469100027,-222.96276118733,471.1295247655901,649.2573982027099,-6.280768000000535,181.35084216852,59.03690480374999,31.879225357880003,163.73725598945998,709.9040039411401,538.3692041445001,65.11232944168,565.07890462363,841.2992397582799,2883.5009185,1715.092411863,16885.684223999997,7530.901509576275,1547.93484694532,192.31010266184995,2344.33488453273,2177.4984162146293,-1653.4441800708
2010-01-01,-3801.6374953205577,719.0996164526402,980.2606822897601,1404.73543905061,-697.5415680000006,257.9449667705401,3610.0892236946706,1152.6857872277699,-586.4619924494,1011.06237028028,5187.375423999999,337.96191271178003,151.97833037089003,5237.719295999999,992.3776615946902,-2512.448443312919,-1383.13063266572,-159.1564741565,54.83435124604006,1217.5503805761798,-982.72205235951,289.39935218094,2040.0414740070698,336.97119604089994,-7.881830273589998,-138.6909505251897,1536.7932799999999,269.5784108183099,532.7200404075099,754.5866412697198,23.929500319570003,-1561.110646067289,-191.5471729594001,536.25371145789,-337.48244926833013,-199.10804732187006,-223.41835416946003,544.4605070851301,742.44159433356,-689.5110079999995,95.66815816954,-38.46884250940997,36.589844966529995,145.07330844288,1011.9654208657199,946.02522333318,129.76603206407,737.6803514746,733.5654859813201,3704.075828,1707.8372876620388,11381.86956800001,5206.876121660494,1616.8739317285401,-23.482698985489947,2693.2552971374,2759.65503596462,-2106.6699230268414
2011-01-01,-5008.587331681949,852.4552168263101,1419.4684126994896,1843.45053513443,-893.2127999999939,128.2048478912701,3682.606742218579,1564.4656130730402,-1611.8814738814199,1630.76874112115,5265.959488,275.22419277104996,-503.95632636827975,4272.220031999997,1756.73618160888,-3483.31572393399,-1159.6198957570705,-176.02866724223,46.03498139206005,1646.2834530068599,-923.6108153216701,497.6156806742399,2124.51115072145,418.3494036770401,30.86762564901001,-96.97834996433994,2533.0053119999993,125.58080092741,23.928937132290116,337.6196690266298,-4.827434185330048,-4255.46635259487,-171.62174323401007,994.3294257261,-571.6510348658599,-177.49201705719986,-365.2701731029499,490.27899530177,955.03209356902,-3101.861024,54.631066189059965,179.29313160603,72.00432978404999,221.61725474739998,1652.60806994464,1633.36736771239,280.50705767197996,881.4353488064199,1006.69259956624,5676.227622,704.75391928923,9020.415487999999,5029.345233142041,2251.947845375629,-289.31945424743,3036.8291462545203,3598.66339269568,-3338.6429669686577
2012-01-01,-1347.6353690146898,917.4460901579896,1407.99584914147,2195.43588311256,3173.242624000006,-445.1708570566801,4047.9656935258704,1724.3491962704297,-1361.6781095761899,1763.82914801234,6174.465968,181.83934691712997,-993.7618422439998,8090.615040000001,1702.8380669237997,-4395.3072469378985,-1728.0128053718704,-283.78109867289004,13.13955614799994,1197.3526373197997,-1152.8938193226302,-333.5511748382403,929.9456807260797,382.87559975935994,-21.240977320449986,26.934129629010158,-764.6238079999966,204.60858866245985,104.74418007467011,534.02785383268,685.4602067034601,-4553.241854915022,244.45679948696989,1205.72487848927,-290.96596460832006,-178.75209243620986,-199.5647070728,645.3444050504901,663.3114979454999,-2463.6868479999994,93.87321217262999,303.1128237148001,95.70585182547998,200.14444626870997,1465.52081720719,963.5463663366501,404.5467290159699,791.9865103607599,1336.66153422637,5162.406392999999,2859.00703514826,12008.172032000002,9324.921041551133,2328.93566053509,-406.4954166516699,2944.0481464279405,3224.8468221190005,-4054.275738137313
2013-01-01,-3372.69294293824,767.9129827661101,1299.6567229309999,2105.1799120755904,800.0565759999954,-2051.37361453591,2854.67897953745,1095.14573875735,-1191.0783207763902,1287.76581833315,4046.5121439999994,72.96886021388991,-857.23030804216,2010.9337599999926,1213.2669881071497,-3907.9234925951987,-2254.8999754114293,-215.00933787345997,-466.59819753457003,298.23053689560993,-1255.0602327696902,-584.8811004033,838.3492317597897,398.31951580344,-169.99993302957,64.62238151674978,-3282.5773439999994,64.34966974155998,50.65881516964998,312.40758018611007,-961.6570129181999,-5503.784507039991,-237.47561184079973,1088.6724845250599,-129.17970464227005,-21.399435685999833,-161.41590862639003,985.38241060273,782.0044422957401,-3197.1956800000007,50.92147073873002,530.59001912848,112.19182076088002,128.71154297126003,1563.9760246390501,1138.0077032127701,439.73802664202003,442.11471382598006,727.1529291750101,4439.70092,4149.862465728341,1521.181184000001,3241.4741870555226,2829.04161463723,-933.52344740279,3372.85513430201,404.5067698832095,-3879.480734353281
2014-01-01,-591.0388526332426,716.6868410904001,1151.7228664326299,1977.4920918696498,3254.8631039999964,-1752.5948505628298,1970.32038616411,627.6700114229802,-739.7840451296103,985.2111378794402,2843.4174719999996,137.66414682931008,-1044.49845526518,3438.8513280000043,1099.0248941792202,-5030.317619221132,-1995.9912220160902,-186.09134496739,-118.4081607123901,615.9235287219499,-1088.16054203855,-606.1757688213497,791.3998482641001,535.1725272237801,-49.83890291873001,124.72746366950992,-1385.9767679999986,591.46586173367,12.756996139909916,1111.9257265461097,531.8408511489799,-6019.0077642076585,-432.2077848551801,939.33041925255,-627.6582523540401,-196.38880807338,-325.08073975379,1353.4440227800399,1067.0894141451301,-4240.479424000001,65.97812040281998,549.7087392322198,117.55915195776001,126.9242624025,1545.66285035144,1041.3496970133901,486.10687384297995,286.84117172969997,405.49638190972973,3892.381254,2505.0245993945,2668.2780159999966,4811.680425177354,3162.72483055161,-872.5227704152499,2907.73401495666,-2.049541922519893,-4671.275909687581
