indice_tiempo,ica_expo_totales,ica_exportacion_productos_primarios,ica_exportacion_manufacturas_origen_agropecuario,ica_exportacion_manufacturas_origen_industrial,ica_exportacion_combustible_energia,ica_importaciones_totales,ica_importaciones_bienes_capital,ica_importaciones_bienes_intermedios,ica_importaciones_combustibles_lubricantes,ica_importaciones_piezas_accesorios_bienes_capital,ica_importaciones_bienes_consumo,ica_importaciones_vehiculos_automotores_pasajeros,ica_importaciones_resto,ica_bienes_capital_partes_piezas,ica_bienes_intermedios_combustibles_lubricantes,ica_importaciones_bs_consumo_vehiculos_automotor_pasajeros,ica_saldo_comercial
1994-06-01,1458.462167,502.878474,480.496898,359.699841,115.374287,1835.794898,455.150086,555.382351,63.143935,320.696669,329.296008,110.037627,2.088222,775.846755,618.526286,441.42185699999993,-377.3327310000002
1994-07-01,1430.051035,379.775061,495.073372,420.117538,135.031823,1775.966983,498.076345,508.228318,83.636592,274.914261,305.712284,103.785983,1.6132,772.9906060000001,591.86491,411.111467,-345.91594800000007
1994-08-01,1469.645104,310.702685,565.195161,437.920094,155.793641,2102.829972,620.801555,608.738091,65.854052,323.493634,335.264613,146.665041,2.012986,944.2951889999999,674.5921430000001,483.94264000000004,-633.184868
1994-09-01,1356.761737,244.321473,503.562297,433.124554,175.721379,1766.01408,439.207973,523.375204,50.766354,289.570853,340.051944,120.949025,2.092727,728.778826,574.141558,463.093696,-409.2523429999999
1994-10-01,1355.191661,194.560862,567.35381,420.681499,172.587816,1840.003546,522.11612,518.980217,49.275798,298.95984,347.259964,100.918342,2.493265,821.07596,568.256015,450.67157100000003,-484.81188499999985
1994-11-01,1420.879323,185.216891,605.147426,468.789224,161.718861,1891.852982,478.750776,575.15986,45.014967,288.679528,375.987647,126.794293,1.465911,767.430304,620.1748269999999,504.24785099999997,-470.973659
1994-12-01,1472.390488,239.456746,522.925309,517.075107,192.874155,1969.896542,612.180582,508.770476,45.704345,252.119567,315.354552,233.838445,1.928575,864.3001489999999,554.474821,551.121572,-497.50605399999995
1995-01-01,1341.892936,290.668862,518.928576,393.824382,138.440546,1717.910739,429.255078,619.966645,70.01547,278.431783,265.344582,53.220075,1.677106,707.686861,689.982115,320.241763,-376.01780299999996
1995-02-01,1392.176762,316.03961,488.423241,428.127929,159.56038,1629.544245,469.864437,528.45855,50.593023,276.246879,246.809686,56.330614,1.241056,746.111316,579.051573,304.38135600000004,-237.367483
1995-03-01,1801.805398,481.028651,558.66887,568.416862,193.561242,1890.613932,470.44068,624.693295,64.611874,345.781285,304.546623,78.674132,1.866043,816.221965,689.305169,385.086798,-88.80853400000001
1995-04-01,1897.065341,591.532431,562.293726,569.625376,173.534398,1485.177409,329.422426,513.714345,72.256168,297.0974,230.51478,41.084433,1.087857,626.519826,585.970513,272.68707,411.8879320000001
1995-05-01,2270.440256,738.796662,658.101362,697.497418,175.98676,1721.813152,378.395745,607.720089,65.332498,339.253017,268.784947,59.371226,2.95563,717.648762,673.052587,331.11180299999995,548.6271039999999
1995-06-01,2149.367295,645.877824,685.432098,616.793562,201.213624,1573.118779,307.560118,572.771217,89.169027,286.357367,240.600692,74.644692,2.015666,593.9174849999999,661.940244,317.26105,576.2485160000001
1995-07-01,1842.449197,505.684285,639.211424,513.09578,184.421547,1518.781747,332.0177,553.816501,77.14186,256.217551,230.745016,66.334491,2.508628,588.2352510000001,630.958361,299.58813499999997,323.6674499999999
1995-08-01,1766.727141,376.014645,698.565041,518.954616,173.008065,1743.831589,356.251114,644.564562,78.6698,288.663059,276.45984,97.497734,1.72548,644.9141729999999,723.234362,375.68305399999997,22.89555200000018
1995-09-01,1664.471229,257.359141,668.681206,560.416091,177.953209,1654.549873,401.84241,613.961655,55.497091,271.894831,278.675117,31.015342,1.663427,673.737241,669.4587459999999,311.353886,9.92135600000006
1995-10-01,1577.411756,191.535487,651.338333,556.103012,178.402572,1752.375214,387.548446,628.085304,53.403931,314.771875,296.119221,69.977019,2.469418,702.320321,681.489235,368.565658,-174.96345799999995
1995-11-01,1588.758572,159.437539,683.082065,551.438505,194.736749,1833.026093,445.952475,652.597391,69.235635,266.389404,328.141966,68.771037,1.938185,712.3418790000001,721.833026,398.851188,-244.267521
1995-12-01,1670.542255,262.28652,660.623647,528.893536,218.578968,1600.93972,422.022894,551.110182,63.54601,227.975817,259.239826,76.283644,0.761347,649.998711,614.656192,336.284817,69.60253499999999
1996-01-01,1449.080019,276.54462,617.359308,350.248461,204.840489,1681.946086,390.068064,699.289873,52.826007,239.589488,234.656225,64.292896,1.223533,629.657552,752.11588,300.17265399999997,-232.86606699999993
1996-02-01,1419.825616,288.602661,556.633122,389.494443,185.020859,1522.092476,332.678295,579.013395,47.973857,288.5868,215.35698,57.504183,0.978966,621.265095,626.9872519999999,273.840129,-102.26685999999995
1996-03-01,1869.067257,491.967283,605.763099,536.256641,234.967522,1781.66975,433.590251,623.93383,42.648421,304.175226,276.286577,99.886548,1.148897,737.765477,666.5822509999999,377.322022,87.3975069999999
1996-04-01,2013.250436,633.572959,601.117059,539.921942,238.571502,1812.935182,428.917694,634.808071,70.02465,324.222741,271.500339,82.909861,0.551826,753.140435,704.832721,354.96202600000004,200.3152540000001
1996-05-01,2386.376368,831.448547,756.880023,560.708173,237.219939,1916.198684,429.958578,694.347654,79.849636,337.697516,282.398502,91.04018,0.906618,767.6560939999999,774.1972900000001,374.3453,470.1776840000002
1996-06-01,2205.984287,671.738813,703.792228,565.226807,265.133101,1996.430468,473.705014,660.121369,101.309042,358.343138,276.324204,126.088237,0.539464,832.0481520000001,761.4304109999999,402.951905,209.5538190000002
1996-07-01,2225.214897,658.437198,773.250656,544.495514,248.703931,2291.016833,504.562473,798.946376,128.919027,407.059397,322.055781,128.90831,0.565469,911.62187,927.865403,451.52956000000006,-65.8019360000003
1996-08-01,2270.073421,592.519716,812.470919,622.882163,242.114513,2307.531306,516.198091,813.50993,83.669662,438.333656,336.685499,118.771544,0.362924,954.531747,897.1795920000001,455.819967,-37.457884999999806
1996-09-01,1943.261033,361.578276,751.268374,542.88873,287.438153,1980.870151,451.7103,649.259595,92.925133,345.145387,327.648751,113.434523,0.746462,796.855687,742.184728,441.829736,-37.60911800000008
1996-10-01,2073.768079,287.027259,847.947424,651.278574,287.403363,2294.085075,572.081384,767.578374,46.069074,432.58912,388.08301,86.740053,0.94406,1004.6705039999999,813.647448,475.76712299999997,-220.31699600000002
1996-11-01,1918.357024,242.551044,796.269469,593.005527,286.485251,2098.768905,497.160275,708.769167,61.008175,353.932006,371.637326,105.769953,0.492003,851.092281,769.7773420000001,477.89928199999997,-180.411881
1996-12-01,2036.458536,481.671774,616.062362,567.893034,370.693936,2078.263976,546.960857,641.435576,37.430991,388.772428,340.183874,123.04299,0.43726,935.733285,678.8665669999999,463.66412399999996,-41.80544000000009
1997-01-01,1894.771291,555.363218,626.011934,451.142233,262.059854,2333.374522,616.574428,767.85566,77.052733,423.644393,313.11369,133.1825,1.951118,1040.218821,844.9083929999999,448.24730800000003,-438.60323100000005
1997-02-01,1884.397762,521.613762,571.927954,481.713878,309.052901,2026.635464,526.447395,670.641201,56.62432,422.88872,269.033256,79.148242,1.85233,949.3361150000001,727.265521,350.03382799999997,-142.2377019999999
1997-03-01,1994.675591,535.868237,589.394523,559.084687,310.184832,2133.055331,514.760417,704.935953,83.566504,416.550703,318.379629,93.173783,1.688342,931.31112,788.502457,413.241754,-138.37974000000008
1997-04-01,2420.242907,766.322661,733.229707,648.381032,272.193951,2529.043342,626.59549,825.688848,75.096268,509.072419,364.230615,126.168382,2.19132,1135.667909,900.785116,492.590317,-108.8004350000001
1997-05-01,2562.975662,702.089577,880.493864,727.048057,253.195303,2543.884835,611.872283,828.25139,95.054724,502.150139,366.778693,137.193689,2.583917,1114.022422,923.306114,506.55629899999997,19.09082699999999
1997-06-01,2265.186338,535.168651,829.565926,626.254152,274.074813,2446.750637,591.363515,821.396325,94.610522,473.461691,334.506562,129.656338,1.755684,1064.825206,916.0068470000001,465.91858399999995,-181.56429900000012
1997-07-01,2357.720678,458.00709,894.260821,735.840094,269.564336,2733.556414,617.123015,916.839315,87.226197,552.224391,433.260531,124.869577,2.013388,1169.3474059999999,1004.065512,560.143496,-375.835736
1997-08-01,2356.217585,376.034836,891.782393,832.848507,255.496761,2693.938373,689.22685,853.965632,83.525188,507.321748,407.000752,150.843073,2.05513,1196.548598,937.49082,559.8989549999999,-337.7207880000001
1997-09-01,2276.578857,329.969251,887.291009,792.974752,266.293151,2766.845686,716.666586,887.083159,68.075101,500.91322,440.478112,151.564265,2.065243,1217.5798060000002,955.15826,594.10762,-490.26682900000014
1997-10-01,2373.950293,308.979642,863.080712,935.350996,266.47811,2836.165533,736.77868,896.212478,61.854513,516.920545,485.713712,136.760518,1.925087,1253.6992249999998,958.066991,624.399317,-462.21524
1997-11-01,2022.435923,260.396801,682.810708,808.245131,270.916321,2799.478241,743.012347,846.70119,94.604139,485.750787,463.047084,164.714982,1.647712,1228.763134,941.305329,629.409778,-777.0423179999998
1997-12-01,2021.701632,355.072644,654.58802,734.625522,277.36355,2607.45558,707.630677,873.799111,92.923378,390.658388,405.411215,135.478064,1.554747,1098.289065,966.722489,542.444026,-585.7539479999998
1998-01-01,1767.165552,446.649568,567.294535,524.505997,228.715452,2558.320938,746.200529,892.083054,63.775056,418.51807,287.76955,148.100611,1.874068,1164.718599,955.8581099999999,437.74422899999996,-791.1553859999999
1998-02-01,1883.433118,435.606946,495.593499,704.718066,247.514607,2282.81215,673.66584,769.255914,59.287933,385.64379,301.040372,92.330373,1.587928,1059.30963,828.5438469999999,394.958673,-399.3790320000003
1998-03-01,2239.499068,723.327768,586.958712,703.042153,226.170435,2693.948937,746.084941,853.541074,73.475914,464.891452,407.969676,146.271083,1.714797,1210.976393,927.016988,555.955556,-454.44986900000004
1998-04-01,2489.795725,810.918573,710.300998,799.793188,168.782966,2739.397399,777.091291,857.30457,76.854135,510.493158,405.328231,110.556484,1.76953,1287.584449,934.158705,517.6542450000001,-249.601674
1998-05-01,2571.806531,804.059934,796.284257,755.231832,216.230508,2625.797703,726.091064,805.435772,77.815359,479.228258,390.652199,144.472081,2.10297,1205.3193219999998,883.251131,537.22725,-53.991172000000006
1998-06-01,2624.455168,781.923652,852.804942,766.205464,223.52111,2823.103117,743.95647,876.400669,69.625372,547.414568,433.668777,150.103807,1.933454,1291.371038,946.026041,585.7060379999999,-198.64794900000015
1998-07-01,2362.119198,594.179914,812.250946,759.879813,195.808525,3027.288463,814.267693,908.540557,94.558004,595.73461,441.452763,171.09487,1.639966,1410.002303,1003.098561,614.187599,-665.169265
1998-08-01,2367.288775,575.736833,822.040467,774.027587,195.483888,2740.494494,656.190836,833.620691,88.841028,549.214547,441.652416,169.230497,1.744479,1205.405383,922.4617189999999,612.627392,-373.20571900000004
1998-09-01,2297.692201,457.529147,796.059671,833.751777,210.351606,2660.692638,628.865068,825.444133,59.704406,541.987852,452.678909,149.971072,2.041198,1170.8529199999998,885.1485389999999,604.691179,-363.00043700000015
1998-10-01,2015.444098,339.636298,784.360215,715.203818,176.243767,2591.191333,663.824407,791.206648,69.944433,493.639173,451.203715,119.827629,1.545328,1157.46358,861.151081,572.576672,-575.7472350000003
1998-11-01,1884.364998,291.82978,761.720175,664.841909,165.973134,2456.459198,717.172825,745.788056,59.709218,395.196271,430.645467,106.401845,1.545516,1112.369096,805.497274,538.592828,-572.0942
1998-12-01,1930.633962,342.418401,775.812995,623.073557,189.329009,2177.853901,600.717857,692.683273,59.282304,298.78726,406.248862,118.621118,1.513227,899.5051169999999,751.9655769999999,526.383207,-247.21993899999984
1999-01-01,1543.548732,311.899568,619.586755,436.019355,176.043054,1906.339612,531.340166,642.020281,58.5669,313.837678,295.985578,62.722323,1.866686,845.1778439999999,700.587181,360.574587,-362.79088
1999-02-01,1523.961372,385.542276,498.507821,471.39561,168.515665,1855.728419,528.176659,598.420445,58.511525,298.279728,294.190231,76.75006,1.399771,826.456387,656.93197,372.340062,-331.76704700000005
1999-03-01,1997.620964,588.70582,644.815401,580.265273,183.83447,2078.156161,489.560374,721.761991,54.556479,325.430856,394.907972,90.710819,1.22767,814.9912300000001,776.3184699999999,486.846461,-80.53519699999993
1999-04-01,2034.355489,615.828973,660.292073,566.823217,191.411226,1873.381965,464.220325,644.601113,35.777262,310.288343,341.911212,75.159241,1.424469,774.508668,680.378375,418.494922,160.973524
1999-05-01,2219.881806,665.123319,757.664323,584.61178,212.482384,1930.700242,523.231283,621.641037,56.613334,319.278853,332.051967,76.498419,1.385349,842.510136,678.254371,409.935735,289.181564
1999-06-01,2129.491227,588.535462,717.231156,584.483785,239.240824,2212.477304,660.314628,695.003538,73.093737,359.442125,370.269014,53.07954,1.274722,1019.7567529999999,768.0972750000001,424.62327600000003,-82.98607700000002
