fecha,deuda_total,deuda_pago_normal,deuda_titulos_publicos,deuda_bonos,deuda_letras,deuda_letras_tesoro,deuda_prestamos,deuda_prest_garantiz,deuda_org_internac,deuda_bid,deuda_birf,deuda_caf,deuda_fmi,deuda_bilaterales,deuda_club_paris,deuda_banca_com,deuda_anticipos_bcra,deuda_pago_diferido,deuda_elegible_pend
2022-09-01,382281.2,379863.8,247244.4,247244.4,38091.4,38091.4,94528.0,832.4,66845.2,13860.7,8948.5,3822.4,39300.1,2769.2,1348.6,1838.4,18960.0,100.2,2317.2
2022-12-01,396555.2,394064.2,253831.0,253831.0,37466.7,37466.7,102766.5,828.6,75511.7,15647.7,9205.4,3931.4,45706.6,3121.8,1927.6,2745.2,15768.8,102.8,2388.2
2023-03-01,398245.7,395744.7,274604.6,274604.6,20830.9,20830.9,100309.2,827.6,76342.6,15506.9,9256.0,4104.9,46040.8,3187.0,1772.5,2394.1,13986.9,103.1,2397.9
2023-06-01,403835.8,401329.6,288165.8,288165.8,16213.4,16213.4,96950.4,842.4,71108.0,15897.4,9386.2,4166.3,40220.1,3268.0,1751.6,1997.0,16172.6,103.3,2402.9
2023-09-01,406948.1,404476.6,291856.5,291856.5,16896.2,16896.2,95723.9,766.3,75066.3,16231.7,9480.5,4384.6,43491.1,3056.9,1711.3,1552.0,11688.6,102.2,2369.3
2023-12-01,370673.4,368225.0,269950.0,269950.0,10974.9,10974.9,87300.1,456.8,74215.3,16511.1,9888.7,5435.3,40899.0,3058.5,1613.0,1195.5,5060.4,102.8,2345.6
2024-03-01,403052.4,400605.6,304784.2,304784.2,8252.5,8252.5,87568.9,736.7,74865.1,16254.1,9832.2,4334.5,42963.1,2840.3,1390.9,1136.4,4771.4,102.8,2344.0
2024-06-01,442514.9,440072.4,328341.0,328341.0,25810.5,25810.5,85920.9,906.9,73379.9,16116.2,9757.1,4479.4,41546.1,2830.4,1370.7,1052.9,4487.1,102.9,2339.6
2024-09-01,460068.8,457587.7,332412.9,332412.9,38303.8,38303.8,86871.0,965.3,74917.5,16601.9,9769.3,4749.8,42180.9,2619.5,1249.7,1014.6,4213.7,104.2,2376.9
2024-12-01,466921.2,464503.2,342345.2,342345.2,34074.6,34074.6,88083.4,997.1,75486.0,17572.4,10737.7,4800.5,40558.2,2613.4,1181.1,919.1,3962.4,102.1,2315.9
2025-03-01,473560.8,471102.9,345862.4,345862.4,38124.6,38124.6,87115.9,1030.3,75983.0,17394.9,10718.3,4749.9,41323.4,2404.9,1014.0,901.8,3809.7,103.5,2354.4
2025-06-01,465353.1,462817.5,323704.1,323704.1,36351.8,36351.8,102761.6,1006.7,92062.4,18089.3,12121.3,4670.2,55317.4,2406.9,1073.1,825.6,3426.1,106.2,2429.4
2025-09-01,454037.0,451511.5,305331.8,305331.8,41189.4,41189.4,104990.3,926.1,95352.5,18969.9,12326.9,4917.1,57292.3,2201.5,850.3,748.5,2993.7,105.8,2419.7
2025-12-01,455076.7,452551.1,287506.5,287506.5,59370.2,59370.2,105674.4,926.1,96130.7,19300.8,12806.6,4842.0,57229.5,2386.2,842.8,682.6,2803.2,105.9,2419.7
