fecha,venc_total,venc_total_local,venc_total_ext,venc_anticipos_bcra,venc_anticipos_bcra_local,venc_anticipos_bcra_ext,venc_avales,venc_avales_local,venc_avales_ext,venc_banca_comercial,venc_banca_comercial_local,venc_banca_comercial_ext,venc_bcie,venc_bcie_local,venc_bcie_ext,venc_bei,venc_bei_local,venc_bei_ext,venc_bid,venc_bid_local,venc_bid_ext,venc_bilaterales,venc_bilaterales_local,venc_bilaterales_ext,venc_birf,venc_birf_local,venc_birf_ext,venc_bocon_9_serie_2010_pr16,venc_bocon_9_serie_2010_pr16_local,venc_bocon_9_serie_2010_pr16_ext,venc_bonos,venc_bonos_local,venc_bonos_ext,venc_caf,venc_caf_local,venc_caf_ext,venc_club_de_paris,venc_club_de_paris_local,venc_club_de_paris_ext,venc_decreto_1579,venc_decreto_1579_local,venc_decreto_1579_ext,venc_decreto_977,venc_decreto_977_local,venc_decreto_977_ext,venc_fida,venc_fida_local,venc_fida_ext,venc_fmi,venc_fmi_local,venc_fmi_ext,venc_fonplata,venc_fonplata_local,venc_fonplata_ext,venc_letras_del_tesoro,venc_letras_del_tesoro_local,venc_letras_del_tesoro_ext,venc_letras_en_garantia,venc_letras_en_garantia_local,venc_letras_en_garantia_ext,venc_ofid,venc_ofid_local,venc_ofid_ext,venc_organism_oficiales_bilateral_interna,venc_organism_oficiales_bilateral_interna_local,venc_organism_oficiales_bilateral_interna_ext,venc_otros,venc_otros_local,venc_otros_ext,venc_otros_acreedores_proveedores_externa,venc_otros_acreedores_proveedores_externa_local,venc_otros_acreedores_proveedores_externa_ext,venc_otros_acreedores_proveedores_interna,venc_otros_acreedores_proveedores_interna_local,venc_otros_acreedores_proveedores_interna_ext,venc_pagares,venc_pagares_local,venc_pagares_ext,venc_prestamos_garantizados,venc_prestamos_garantizados_local,venc_prestamos_garantizados_ext,venc_titulos_publicos_bocon_9_serie_2010_pr16,venc_titulos_publicos_bocon_9_serie_2010_pr16_local,venc_titulos_publicos_bocon_9_serie_2010_pr16_ext
2015-09-01,105853.556,59885.452,45968.105,31037.668,31037.668,,,,,4270.65,4245.756,24.894,,,,2.672,,2.672,2458.025,,2458.025,393.881,,393.881,1583.087,,1583.087,,,,51196.389,16488.215,34708.173,604.033,,604.033,4364.484,,4364.484,,,,,,,11.904,,11.904,,,,24.363,,24.363,8023.498,6704.152,1319.347,,,,,,,,,,473.242,,473.242,,,,,,,,,,1409.661,1409.661,,,,
2015-12-01,88031.443,52883.728,35147.715,25517.109,25517.109,,,,,3828.346,3803.466,24.881,,,,,,,2533.486,,2533.486,396.422,,396.422,1563.333,,1563.333,,,,37753.504,13780.263,23973.24,642.602,,642.602,4294.922,,4294.922,,,,,,,11.694,,11.694,,,,26.941,,26.941,8943.546,7691.67,1251.876,,,,,,,,,,1281.836,853.518,428.318,,,,,,,,,,1237.702,1237.702,,,,
2016-03-01,82898.344,47270.387,35627.957,23169.452,23169.452,,,,,3381.49,3356.622,24.868,,,,,,,2534.5,,2534.5,398.119,,398.119,1571.751,,1571.751,,,,37811.954,13003.56,24808.395,662.178,,662.178,3952.881,,3952.881,,,,,,,12.061,,12.061,,,,25.03,,25.03,7745.858,6534.458,1211.4,,,,,,,,,,426.773,,426.773,,,,,,,,,,1206.295,1206.295,,,,
2016-06-01,89085.586,46968.4,42117.186,24380.027,24380.027,,,,,3238.222,3213.347,24.875,,,,,,,2541.45,,2541.45,372.361,,372.361,1561.696,,1561.696,,,,39845.014,12692.741,27152.272,694.236,,694.236,4500.308,,4500.308,,,,,,,11.868,,11.868,,,,25.751,,25.751,10243.582,5405.064,4838.517,,,,,,,,,,393.851,,393.851,,,,,,,,,,1277.221,1277.221,,,,
2016-09-01,89668.997,45683.591,43985.406,24642.771,24642.771,,,,,1999.728,1974.958,24.77,,,,,,,2499.723,,2499.723,375.985,,375.985,1548.818,,1548.818,,,,40164.172,13150.92,27013.252,715.588,,715.588,4548.246,,4548.246,,,,,,,11.975,,11.975,,,,26.359,,26.359,11411.557,4589.396,6822.161,,,,,,,,,,398.528,,398.528,,,,,,,,,,1325.546,1325.546,,,,
2016-12-01,108373.846,58884.274,49489.572,24115.153,24115.153,,,,,1373.3,1348.597,24.703,,,,,,,2507.675,,2507.675,347.206,,347.206,1548.749,,1548.749,,,,44595.632,15761.487,28834.145,761.504,,761.504,4253.937,,4253.937,,,,,,,11.313,,11.313,,,,28.156,,28.156,25935.592,15283.705,10651.887,,,,,,,,,,1833.286,1312.99,520.296,,,,,,,,,,1062.342,1062.342,,,,
2017-03-01,114923.759,61997.368,52926.39,27287.444,27287.444,,,,,1403.653,1378.947,24.706,,,,,,,2419.165,,2419.165,390.971,,390.971,1555.523,,1555.523,,,,51628.365,21449.512,30178.853,782.641,,782.641,3323.505,,3323.505,,,,,,,11.675,,11.675,,,,28.481,,28.481,24521.385,10835.399,13685.986,,,,0.376,,0.376,,,,811.285,286.778,524.507,,,,,,,,,,759.288,759.288,,,,
2017-06-01,120964.344,65996.963,54967.381,28841.763,28841.763,,,,,1017.011,992.304,24.707,,,,,,,2425.252,,2425.252,403.52,,403.52,1539.892,,1539.892,,,,51213.888,24426.833,26787.055,802.02,,802.02,5665.214,,5665.214,,,,,,,12.275,,12.275,,,,30.607,,30.607,27673.581,10926.675,16746.906,,,,0.87,,0.87,,,,794.82,265.756,529.063,,,,,,,,,,543.631,543.631,,,,
2017-09-01,121528.779,63921.602,57607.177,27267.688,27267.688,,,,,715.465,690.757,24.708,,,,,,,2411.904,,2411.904,476.121,,476.121,1518.33,,1518.33,,,,53423.532,25221.953,28201.579,831.033,,831.033,5753.368,,5753.368,,,,,,,12.61,,12.61,,,,32.288,,32.288,27762.326,9948.302,17814.024,,,,1.818,,1.818,,,,784.105,254.711,529.394,,,,,,,,,,538.191,538.191,,,,
2017-12-01,129453.821,71457.027,57996.794,25153.136,25153.136,,,,,2818.058,2793.351,24.708,0.311,,0.311,,,,2455.049,,2455.049,562.251,,562.251,1496.516,,1496.516,,,,56408.676,27696.172,28712.504,882.416,,882.416,5789.491,,5789.491,,,,,,,12.767,,12.767,,,,36.519,,36.519,31869.387,14427.557,17441.831,46.59,,46.59,3.359,,3.359,,,,1597.773,1065.292,532.481,,,,,,,,,,321.521,321.521,,,,
2018-03-01,133492.536,64415.551,69076.986,25176.113,25176.113,,,,,2580.23,2555.524,24.706,0.311,,0.311,,,,2449.466,,2449.466,660.189,,660.189,1477.385,,1477.385,,,,63373.974,24727.377,38646.597,932.376,,932.376,5944.629,,5944.629,,,,,,,13.216,,13.216,,,,35.981,,35.981,29916.721,11614.447,18302.274,46.59,,46.59,5.386,,5.386,,,,537.879,,537.879,,,,,,,,,,342.09,342.09,,,,
2018-06-01,127729.768,56046.765,71683.002,18783.717,18783.717,,,,,1803.795,1779.091,24.704,0.346,,0.346,,,,2461.07,,2461.07,684.214,,684.214,1443.895,,1443.895,,,,71862.876,27539.528,44323.347,950.031,,950.031,3850.447,,3850.447,,,,,,,12.614,,12.614,825.544,,825.544,37.255,,37.255,24321.52,7836.097,16485.423,46.59,,46.59,6.566,,6.566,,,,530.955,,530.955,,,,,,,,,,108.333,108.333,,,,
2018-09-01,114397.896,42721.357,71676.539,12292.679,12292.679,,,,,1266.254,1253.721,12.534,0.346,,0.346,2.869,,2.869,2503.412,,2503.412,834.925,,834.925,1404.065,,1404.065,,,,66107.51,20028.794,46078.715,1080.982,,1080.982,3817.485,,3817.485,,,,,,,12.804,,12.804,891.041,,891.041,36.95,,36.95,23486.933,9062.347,14424.586,46.59,,46.59,8.888,,8.888,,,,520.347,,520.347,,,,,,,,,,83.816,83.816,,,,
2018-12-01,128760.041,59061.274,69698.767,13296.816,13296.816,,,,,1361.519,1348.988,12.532,0.354,,0.354,4.551,,4.551,2519.063,,2519.063,932.4,,932.4,1400.459,,1400.459,,,,72410.782,28271.873,44138.909,1116.796,,1116.796,3815.392,,3815.392,,,,,,,12.828,,12.828,1872.981,,1872.981,45.402,,45.402,28037.188,15031.713,13005.475,292.579,,292.579,9.824,,9.824,,,,1532.23,1013.005,519.225,,,,,,,,,,98.88,98.88,,,,
2019-03-01,131470.208,50102.253,81367.955,11596.118,11596.118,,,,,1090.037,1052.778,37.259,0.354,,0.354,9.544,,9.544,2546.585,,2546.585,975.737,,975.737,1358.018,,1358.018,,,,77986.981,22845.922,55141.06,1173.389,,1173.389,3971.336,,3971.336,,,,,,,12.746,,12.746,1908.41,,1908.41,50.844,,50.844,27902.815,14527.106,13375.709,292.579,,292.579,11.187,,11.187,,,,503.2,,503.2,,,,,,,,,,80.328,80.328,,,,
2019-06-01,135870.769,54819.466,81051.303,11843.348,11843.348,,647.769,157.944,489.825,1094.156,1063.231,30.925,0.338,,0.338,9.877,,9.877,2596.897,,2596.897,972.151,,972.151,1339.865,,1339.865,,,,80420.718,26193.283,54227.435,1193.187,,1193.187,2131.543,,2131.543,,,,,,,12.871,,12.871,3134.044,,3134.044,49.154,,49.154,29983.049,15457.401,14525.648,292.579,,292.579,12.324,,12.324,,,,,,,,,,,,,45.312,12.671,32.641,91.587,91.587,,,,
2019-09-01,114099.147,45876.212,68222.935,8734.275,8734.275,,615.246,93.274,521.972,832.389,783.646,48.742,0.338,,0.338,14.27,,14.27,2543.693,,2543.693,1028.042,,1028.042,1296.104,,1296.104,,,,64165.773,23973.362,40192.411,1330.834,,1330.834,2088.264,,2088.264,,,,,,,12.452,,12.452,5040.084,,5040.084,53.23,,53.23,25937.165,12208.144,13729.021,292.579,,292.579,13.028,,13.028,,,,,,,,,,,,,28.026,10.156,17.871,73.356,73.356,,,,
2019-12-01,123970.792,55836.958,68133.835,14237.082,14237.082,,2316.352,793.271,1523.081,2718.998,2643.011,75.987,0.31,,0.31,14.487,,14.487,2486.753,,2486.753,987.336,,987.336,1252.168,,1252.168,,,,63538.624,24217.011,39321.612,1311.229,,1311.229,2116.67,,2116.67,,,,,,,12.948,,12.948,6897.342,,6897.342,58.719,,58.719,24004.568,12564.854,11439.714,603.286,,603.286,14.321,,14.321,,,,,,,,,,,,,1319.59,1301.719,17.871,80.009,80.009,,,,
2020-03-01,126488.075,54335.487,72152.588,16825.423,16825.423,,2255.795,741.383,1514.412,2371.297,2295.258,76.039,0.31,,0.31,17.975,,17.975,2422.603,,2422.603,1005.335,,1005.335,1126.912,,1126.912,,,,67722.173,26149.903,41572.27,1335.888,,1335.888,2105.276,,2105.276,,,,,,,12.753,,12.753,9616.444,,9616.444,58.3,,58.3,18912.987,8248.201,10664.785,603.286,,603.286,16.329,,16.329,,,,,,,,,,,,,14.98,11.307,3.673,64.011,64.011,,,,
2020-06-01,137325.236,54088.301,83236.935,16531.545,16531.545,,2206.582,682.489,1524.094,1720.699,1632.735,87.963,0.309,,0.309,17.996,,17.996,2406.224,,2406.224,966.896,,966.896,1057.004,,1057.004,,,,74263.848,22999.344,51264.504,1278.48,,1278.48,2314.27,,2314.27,,,,,,,12.799,,12.799,13191.321,,13191.321,70.658,,70.658,20589.159,12168.683,8420.476,603.286,,603.286,16.982,,16.982,,,,,,,,,,,,,14.708,11.035,3.673,62.47,62.47,,,,
2020-09-01,107614.027,57634.527,49979.5,18197.965,18197.965,,2160.542,635.084,1525.458,1622.913,1509.895,113.018,0.309,,0.309,22.364,,22.364,2276.961,,2276.961,957.261,,957.261,954.506,,954.506,,,,44214.977,24551.767,19663.21,1268.744,,1268.744,2410.435,,2410.435,,,,,,,13.142,,13.142,18417.506,,18417.506,73.319,,73.319,14326.279,12667.529,1658.75,603.286,,603.286,18.826,,18.826,,,,,,,,,,,,,13.257,10.852,2.406,61.435,61.435,,,,
