indice_tiempo,total_cuenta_corriente,cuenta_corriente_total_bienes_servicios,cuenta_corriente_bienes_servicios_total_bienes,cuenta_corrientes_bienes_servicios_bienes_exportaciones_fob,cuenta_corrientes_bienes_servicios_bienes_importaciones_fob,cuenta_corriente_bienes_servicios_total_servicios,cuenta_corriente_bienes_servicios_ingresos_servicios,cuenta_corriente_bienes_servicios_egresos_servicios,cuenta_corriente_total_ingresos_primarios,cuenta_corriente_ingresos_primarios_rem_empleados,cuenta_corriente_ingresos_primarios_total_rentas_inversion,cta_cte_ingresos_primarios_rentas_inversion_directa,ingresos_primarios_rentas_inversion_inversion_cartera,cuenta_corriente_ingresos_primarios_rentas_otra_inversion,cuenta_corriente_ingresos_secundarios,total_cuenta_capital,total_cuenta_financiera,cuenta_financiera_total_inversion_directa,cta_fin_inversion_directa_activos_participaciones_capital,cuenta_financiera_inversion_directa_activos_instrumentosuda,cta_fin_inversion_directa_pasivos_participaciones_capital,cta_fin_inversion_directa_pasivos_instrumentos_deuda,cuenta_financiera_total_inversion_cartera,cta_fin_inversion_cartera_activos_participaciones_capital,cuenta_financiera_inversion_cartera_activos_instrumentosuda,cta_fin_inversion_cartera_pasivos_participaciones_capital,cuenta_financiera_inversion_cartera_pasivos_instrumentosuda,cuenta_financierarivados_financieros,cuenta_financiera_total_otra_inversion,cta_fin_otra_inversion_adquisicion_neta_activos_financieros,cuenta_financieratra_inversion_emision_neta_pasivos,activos_reserva,errores_omisiones_netos
2016-01-01,-15104.786524560117,-4035.4982439358027,4416.1569416,57959.93369052999,53543.776748929995,-8451.655185535808,13424.706884225205,21876.36206976101,-12192.210740787996,-93.93783063045032,-12098.272910157546,-7166.2554452128625,-3505.429309019022,-1487.1405341923746,1122.9224601636784,370.8045462570236,-13964.056184691044,-1473.6334070258952,1786.5309347480436,0.0,7991.847023682047,-4731.682681908108,-35255.29385502283,-978.2558764172791,1776.09544023578,985.2166689702246,35067.91674987111,222.04503835033182,8231.59054346096,2689.387168713537,-5542.203374747422,14311.235495546392,774.9157551316139
2017-01-01,-31151.35175076238,-15142.50169976446,-5447.063107540102,58661.8735517799,64108.936659319996,-9695.438592224358,15506.201961982286,25201.640554206642,-16380.283705535618,-80.80352190587408,-16299.480183629741,-8681.645293844793,-5980.8423969228415,-1767.3447703453503,371.4336545376974,173.49546740395365,-31273.18793101119,-10361.231244259952,1155.6302180245264,0.0,9094.801252372674,2422.060209911807,-35921.73949162286,307.80044095328185,5194.537842842634,3013.2999735070553,38410.77780191172,-96.22559999999999,550.3028807976264,12506.082997233585,-11955.780116435959,14555.705524073996,-295.33164765276524
2018-01-01,-27083.606451057018,-9678.495464234706,-743.2276781901019,61801.002638289894,62544.230316479996,-8935.267786044604,15342.163177832326,24277.43096387693,-18650.23032503888,-79.45569470332099,-18570.77463033556,-7421.389729843589,-9346.064938284951,-2220.308636251749,1245.1193382165552,111.07551803900094,-28035.820784838957,-9990.78824604859,1725.9815727057091,0.0,10293.052412752935,1423.7174060013645,-6923.925325961752,583.9138558105066,5582.787621924137,-508.3469653029424,13598.973768999336,-32.10888900727976,-22365.891100674155,25616.792288578083,-47982.68338925224,11276.89277685282,-1063.2898518209454
2019-01-01,-3492.4795810842047,13390.550040882375,18233.723458300305,65162.061724810104,46928.3382665098,-4843.173417417929,14802.420804612464,19645.59422203039,-17732.164561918544,-92.8885822080715,-17639.275979710474,-5609.581326158739,-8707.745602701565,-3650.1994877617026,849.1349399519656,283.94730039787396,-5119.265557223452,-5126.459686190737,1522.728151795323,0.0,6481.822573466151,167.36526451990886,7108.581725315477,391.3973415171697,1712.9753300129776,85.59939238708124,-5089.808446172412,-24.30032985298181,14297.470001243139,31253.206076770053,-16955.73607552692,-21374.55726773835,-1910.7332765371166
2020-01-01,2688.362005523114,12094.415410625461,14630.698177089833,54945.5096987797,40314.811521689866,-2536.2827664643714,9491.7376067937,12028.02037325807,-10505.577749129243,-82.1931419572904,-10423.38460717195,-2609.648871978821,-4104.217328165117,-3756.6601862580383,1099.5243440268946,164.76247355332566,1362.1200067289901,-3706.9507673516096,1177.1769086054587,0.0,4044.7761349570683,839.351541,1570.7017770621678,1091.6578908014308,-4071.5545447674144,-118.10874604797431,-4432.489684980177,10.413369507465577,11215.126483240168,7538.789027969876,3676.3374552702926,-7727.170855729202,-1491.0044723474577
2021-01-01,6624.7851923479975,14995.3741168722,18695.465615030298,77986.5761654501,59291.1105504198,-3700.0914981580995,9588.735677652645,13288.827175810744,-9772.634371620354,-119.94033316621591,-9652.694038454138,-4976.31247645725,-1391.5118028940417,-3291.102384810828,1402.0454470961502,252.98802020782523,4501.708102392806,-5114.187941518421,1543.8617377588664,0.0,5684.460679277287,973.5890000000003,4940.438117634939,2011.995681152106,-517.1217317915915,-4.073225782784277,-3441.49094249164,-15.573727765578806,4796.84447957185,5961.868396259877,-1165.0239166880272,-105.81282552998209,-2376.0651101630165
2022-01-01,-3964.0749152809362,5641.696321911415,12416.554416289904,88771.17854249,76354.6241262001,-6774.858094378489,14415.863622260444,21190.72171663893,-11576.553237528977,-94.55878945487578,-11481.994448074101,-6118.457890788943,-2063.719986312026,-3465.4313682718907,1970.7820003366269,191.51453116874777,-7437.161497941455,-13116.250814243604,2089.8365830566927,0.0,6405.762397300297,8800.325,7462.6233277254005,-137.22641681644444,2203.942445407987,-278.8455367931708,-5117.061762340687,4.449799527319733,-8707.753103590576,6852.280992646651,-15560.034096237227,6919.769292640002,-3664.6011138292597
2023-01-01,-20751.251605550333,-8863.234392090424,-2823.326730550303,67035.43115583,69858.7578863803,-6039.907661540121,16532.346065242913,22572.253726783034,-13958.038851053268,-92.38031875648309,-13865.658532296784,-7860.187115847958,-1485.253457516587,-4873.977967097166,2070.021637593354,187.27822174925805,-25534.486928497627,-21733.624156344922,3023.2630703090663,0.0,9429.602226653988,15327.285,6833.009931109357,-461.0612214923543,3553.5804915140498,73.54485704782638,-3814.0355181354894,9.585477967230045,11031.51350329633,15230.468855915482,-4198.95535261915,-21674.971684525626,-4970.513544696545
2024-01-01,5701.359456361994,16653.91043786006,22403.833025780004,79759.5383584701,57355.70533269011,-5749.922587919948,17166.84880823097,22916.77139615092,-13263.065722138415,-91.5301725596857,-13171.53554957873,-7182.990358379942,-1738.354508802222,-4509.921563799351,2310.514740640352,268.3171079227614,1500.892941944186,-8887.671128061334,2756.7226880013854,0.0,8318.84981606272,3325.5440000000003,4689.510310015026,895.2171413089754,2379.912608479839,610.2943387328816,-2024.6748989590938,19.245837148641083,-413.45538555979147,-4851.619966051852,4438.164580492061,6093.263308401644,-4468.783622340574
2025-01-01,-7581.623301831192,4125.39198275953,15358.965971019803,87151.6137715799,71792.6478005601,-11233.573988260274,18038.842863400023,29272.4168516603,-13900.466090236976,-102.49959349065551,-13797.966496746321,-7034.585011737687,-2707.1051220895197,-4388.279796056018,2193.4508056462523,345.1871773536648,-11413.665349704106,-299.98296862075586,2834.227052600285,0.0,3600.126021221041,-465.91600000000017,-789.0029943513837,2500.520964110527,3527.9342961106613,-815.0173576771858,7632.4756122497565,2.720336462922134,-17548.47373096203,9517.611115898622,-27066.084846860653,7221.074007767142,-4177.229225226569
2026-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
