fecha,fbkf_total,construcciones,otras_construcciones,maq_equipo,maq_nacional,maq_importado,eq_transporte,transp_nacional,transp_importado,otros_activos
2007-12-01,192087.56402626808,93033.9154934087,16071.449137412606,64084.79649617504,27091.316223946007,36993.48027222903,18156.297445041502,13319.658614597096,4836.638830444405,741.1054542302359
2008-03-01,202936.38542612523,98527.11315080622,17371.845231666317,66141.94108056845,25899.50851983594,40242.4325607325,20185.111915906265,13251.389191772156,6933.722724134112,710.3740471779937
2008-06-01,234221.80476596183,109834.99581954032,20091.467944876138,80096.13861045566,34091.576891659046,46004.56171879661,23469.53000824915,17522.34217907865,5947.187829170499,729.672382840527
2008-09-01,230523.27564884457,111129.360185455,20332.650643228193,74818.03584030524,32756.66583290398,42061.37000740126,23485.798342832197,17061.095543491858,6424.702799340338,757.4306370239326
2008-12-01,206516.8242355749,100410.66637088302,19882.945004388654,66600.11752581157,30029.438581536433,36570.67894427514,18829.37179051571,12835.951490826152,5993.420299689557,793.7235439759532
2009-03-01,171002.40533113322,84780.83365762151,20031.8732592187,51412.62574553299,20163.70492830139,31248.9208172316,13926.302741634252,11280.593241890068,2645.7094997441827,850.7699271257835
2009-06-01,183569.6537347694,89181.87740246249,18731.44220412733,57519.60296037678,28494.481800799844,29025.121159576942,17282.71126577457,13440.15091653376,3842.560349240813,854.01990202824
2009-09-01,207506.67088168586,105060.74019382692,18466.303681343034,64854.28913497174,29572.437677783328,35281.85145718841,18187.439937481366,15361.955531098554,2825.484406382812,937.8979340628208
2009-12-01,215718.27718446965,110574.65903694766,18635.365490162672,66380.46663376685,32063.106468618455,34317.36016514839,19135.540278297194,14422.180235342665,4713.36004295453,992.2457452952946
2010-03-01,223217.86723771857,115379.02426752193,21015.753585334867,64627.31658110061,29750.620624955933,34876.69595614468,21085.246752169,15889.431976601398,5195.814775567605,1110.5260515921782
2010-06-01,269536.45616702735,131261.92652481163,25568.380843813058,83562.05885840302,41381.294728418994,42180.764129984025,27946.074228111927,20444.61052199015,7501.463706121777,1198.0157118876964
2010-09-01,299912.1042516272,145555.50121575405,25669.510071987137,95760.49440413226,46620.854473873354,49139.639930258905,31663.657914378986,23446.020393770857,8217.637520608128,1262.940645374841
2010-12-01,313472.4744929887,150686.00303959337,19328.760158704394,103981.31457620542,49506.70525746072,54474.609318744704,38022.70090798758,25856.755181141627,12165.945726845952,1453.6958104979728
2011-03-01,324979.6531987572,165332.07280759915,28037.192620740832,98656.18706455891,44880.84120096423,53775.34586359468,31460.264939566623,21355.81200178311,10104.452937783512,1493.9357662917002
2011-06-01,369566.5201869676,181825.66829712238,28848.453042039022,113984.80208348949,60502.10236049539,53482.6997229941,43375.76129344065,30252.28258016714,13123.478713273507,1531.8354708760612
2011-09-01,407570.7566978567,199349.7479540638,32529.984956167755,123370.36675615257,64163.29411051084,59207.07264564173,50783.50471901063,35761.741414847595,15021.763304163034,1537.1523124619844
2011-12-01,401260.19434016163,201438.49372345948,28756.92364101395,123501.01617642149,64067.2497778554,59433.76639856608,45853.95388832718,34067.34438178618,11786.609506541006,1709.8069109395854
2012-03-01,372008.733862721,199610.9332909636,30449.9139655678,102969.80076541731,52692.03951403894,50277.761251378375,37299.67816437227,28849.774364081903,8449.90380029037,1678.407676399984
2012-06-01,397240.4085732314,209749.20414666107,35488.934368796195,105110.67698428134,63574.143460783576,41536.53352349777,45093.72743818963,36459.69645671507,8634.030981474558,1797.865635303189
2012-09-01,440523.4329356779,224823.85370770245,37297.97225326699,123705.5827798403,68431.80126137749,55273.78151846281,52884.55632865498,41981.11922283343,10903.437105821546,1811.467866213142
2012-12-01,463458.86081413575,231353.44683269245,39106.0053722941,137841.9736237492,75937.98655167835,61903.98707207085,53125.60739870817,40885.495303566604,12240.112095141565,2031.8275866918991
2013-03-01,458406.7910887563,245734.26901270892,41752.60083832786,120414.74230154921,63235.891535294766,57178.85076625444,48562.11258974805,39868.472213085326,8693.640376662726,1943.066346422228
2013-06-01,538931.0799620079,264883.8528835961,50541.74010953539,151170.64245310694,89988.97314773963,61181.66930536729,70314.42534009155,54605.79374490754,15708.631595184002,2020.4191756779803
2013-09-01,575232.3098211049,285097.32194642455,58101.35675468671,159629.09936585673,92898.16974929953,66730.92961655719,70396.15181895571,51384.26865198176,19011.88316697395,2008.3799351811901
2013-12-01,609122.1619265543,297817.4249183174,63816.388863415494,171767.16845643165,100649.47058487902,71117.69787155262,73236.08796870081,51926.73660581335,21309.35136288746,2485.0917196888868
2014-03-01,643352.1485256441,324651.8149327647,77603.8512151524,173738.0071874053,84831.84921383944,88906.15797356586,64629.412816686876,45626.57142839126,19002.84138829562,2729.0623736347275
2014-06-01,737042.889381182,362678.0324229405,89178.32436619008,200354.8274718969,112008.54738990695,88346.28008198993,81833.06290723271,62430.604632041366,19402.45827519135,2998.642212921866
2014-09-01,775663.7497076743,381721.45260071737,85812.5460287512,221720.87906116724,123898.02399541436,97822.85506575288,83253.25364283567,62351.37855331055,20901.87508952512,3155.61837420271
2014-12-01,770884.8439430414,384752.15262033266,81326.34325864163,224655.72483675386,126306.20503961037,98349.51979714348,76789.72457653852,56670.19578955802,20119.528786980503,3360.898650774744
2015-03-01,794916.2359566725,402355.9405523616,100484.19423362798,215796.4742726786,108748.0589686931,107048.41530398552,72903.42936506373,60496.18601303053,12407.243352033203,3376.197532940507
2015-06-01,903500.3445534327,448312.65739997773,109536.58813128925,241131.91811958633,139719.26176797596,101412.65635161038,100852.46864407044,75408.20123660154,25444.267407468895,3666.71225850886
2015-09-01,1005506.286774582,495741.96522504947,118699.43641162376,269309.59229703655,151202.1910571344,118107.40123990219,118078.61720797153,94038.02232384964,24040.594884121892,3676.675632900658
2015-12-01,1003294.8987689831,484570.4690259613,97719.3476396211,303465.63268936635,181978.3555735017,121487.27711586465,113212.06238621636,90162.49822318998,23049.56416302638,4327.387027818057
2016-03-01,1070847.9838516088,498538.0648297177,133075.76168624675,314578.3252151085,149317.67148899494,165260.65372611358,119846.77950400079,95291.11636383887,24555.66314016193,4809.0526165351675
2016-06-01,1149601.9975566901,501780.43450154644,136571.28169123866,349268.3501078915,185992.01368094163,163276.33642694983,156793.4649104167,122204.39159759681,34589.07331281986,5188.466345596718
2016-09-01,1222179.6558822615,564171.9542712974,128063.05001425417,355564.68380904564,185488.75721261857,170075.92659642707,168896.42513691698,114712.90867427958,54183.5164626374,5483.5426507470975
2016-12-01,1254781.4821189188,567557.1778282818,110793.3355493071,393253.4893436996,223084.06081907326,170169.42852462633,177269.54054587387,110887.95145326361,66381.58909261026,5907.938851756394
2017-03-01,1376574.1514435573,655682.0678230902,175884.86421942821,374823.8609330801,185410.42437272958,189413.4365603505,164058.64095642028,108666.6961443867,55391.944812033566,6124.717511538585
2017-06-01,1515425.7851115854,697591.3784807691,169385.69340718436,441971.1570189196,246941.9429435904,195029.21407532922,199995.58866141248,134009.5633658973,65986.02529551515,6481.967543299792
2017-09-01,1746003.5877648164,822676.1165646308,169067.96620665613,532165.51357696,268790.8757301706,263374.6378467894,215388.98960833365,143285.77504255399,72103.21456577966,6705.001808235929
2017-12-01,1827296.604023722,837018.7704023332,190517.50407903577,579242.4922549247,305341.1709378934,273901.32131703134,213100.14760510222,150459.76236341507,62640.38524168717,7417.689682326111
2018-03-01,2044366.8432120709,967560.8708136252,270909.25605294394,582463.9292064583,312528.0612196328,269935.86798682547,215472.27938113816,143109.97035852866,72362.30902260948,7960.507757905338
2018-06-01,2168235.660842741,1015371.4237343476,272118.5178050012,646083.6296075489,358551.52186096576,287532.10774658323,225431.16269094017,149615.55717308822,75815.60551785195,9230.927004903244
